Company Name,Size,Type of ownership,Industry,Headquarters
Software Guidance & Assistance,51 to 200 employees,Company - Private,Staffing & Outsourcing,"Tarrytown, NY"
Citi,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
Metropolitan Council on Jewish Poverty,201 to 500 employees,Nonprofit Organization,Social Assistance,"New York, NY"
TSR Consulting,201 to 500 employees,Company - Public,Staffing & Outsourcing,"Hauppauge, NY"
UBS,10000+ employees,Company - Public,Investment Banking & Asset Management,"Zurich, Switzerland"
"Take-Two Interactive Software, Inc.",1001 to 5000 employees,Company - Public,Video Games,"New York, NY"
Praescient Analytics,51 to 200 employees,Company - Private,Consulting,"Alexandria, VA"
Morgan Stanley,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
ICAP at Columbia University,501 to 1000 employees,Nonprofit Organization,Health Care Services & Hospitals,"New York, NY"
Columbia University Medical Center,5001 to 10000 employees,Hospital,Health Care Services & Hospitals,"New York, NY"
Xoriant Corporation,1001 to 5000 employees,Company - Private,IT Services,"Sunnyvale, CA"
Montefiore Medical,10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,"Bronx, NY"
Cedent Consulting,1 to 50 employees,Company - Private,Consulting,"Frisco, TX"
ACS,1 to 50 employees,Company - Private,General Repair & Maintenance,"Moore, OK"
NADAP,201 to 500 employees,Nonprofit Organization,Social Assistance,"New York, NY"
SGA Inc.,1 to 50 employees,Company - Private,Architectural & Engineering Services,"Bethesda, MD"
VISTRADA,1 to 50 employees,Company - Private,Advertising & Marketing,"New York, NY"
Disney Streaming Services,501 to 1000 employees,Company - Private,Internet,"New York, NY"
Royal Communications Consultants Inc,1 to 50 employees,Company - Private,IT Services,"New York, NY"
CASES,201 to 500 employees,Nonprofit Organization,Social Assistance,"Brooklyn, NY"
Sphinix Network Solutions Inc.,1 to 50 employees,Company - Private,IT Services,"New York, NY"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
Earnest Research,51 to 200 employees,Company - Private,Research & Development,"New York, NY"
Bloomberg,10000+ employees,Company - Private,Computer Hardware & Software,"New York, NY"
APN Software Services Inc.,51 to 200 employees,Company - Private,Computer Hardware & Software,"Newark, CA"
Acacia Network,1001 to 5000 employees,Nonprofit Organization,Social Assistance,"Bronx, NY"
"EDP World, Inc.",1 to 50 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
Citi,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
Walt Disney Co.,10000+ employees,Company - Public,Motion Picture Production & Distribution,"Burbank, CA"
NTT DATA,10000+ employees,Company - Public,IT Services,"Tokyo, Japan"
"TSR, Inc.",201 to 500 employees,Company - Public,Staffing & Outsourcing,"Hauppauge, NY"
Fidelis Group,51 to 200 employees,Company - Private,Consulting,"Little Ferry, NJ"
Eclaro,501 to 1000 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
Source of Future Technology Inc,1 to 50 employees,Company - Private,Computer Hardware & Software,"New York, NY"
Brink's,10000+ employees,Company - Public,Security Services,"Richmond, VA"
Seven Seven Softwares,201 to 500 employees,Company - Public,IT Services,"Rockaway, NJ"
Mobilityware,51 to 200 employees,Company - Private,Video Games,"Irvine, CA"
TechProjects,1 to 50 employees,Company - Private,IT Services,"North Brunswick, NJ"
Mitchell Martin,501 to 1000 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
RMS Computer Corporation,201 to 500 employees,Company - Private,Computer Hardware & Software,"New York, NY"
ProHEALTH Care,1001 to 5000 employees,Subsidiary or Business Segment,Health Care Services & Hospitals,"Lake Success, NY"
2U,1001 to 5000 employees,Company - Public,Enterprise Software & Network Solutions,"Lanham, MD"
Mount Sinai Medical Center,1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,"Miami Beach, FL"
Professional Resource Group,1 to 50 employees,Company - Private,Advertising & Marketing,"Spring, TX"
JPMorgan Chase,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
Capgemini,10000+ employees,Company - Public,Enterprise Software & Network Solutions,"Paris, France"
IPRO,201 to 500 employees,Nonprofit Organization,Health Care Services & Hospitals,"N New Hyde Park, NY"
Brown Brothers Harriman,1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,"New York, NY"
NYC Health + Hospitals,5001 to 10000 employees,Company - Public,Health Care Services & Hospitals,"New York, NY"
Mount Sinai Medical Center,1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,"Miami Beach, FL"
Horizon Blue Cross Blue Shield of New Jersey,1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,"Newark, NJ"
Columbia University,10000+ employees,College / University,Colleges & Universities,"New York, NY"
Walt Disney Company,10000+ employees,Company - Public,Motion Picture Production & Distribution,"Burbank, CA"
Diverse Lynx,501 to 1000 employees,Company - Private,IT Services,"Princeton, NJ"
Capgemini,10000+ employees,Company - Public,Enterprise Software & Network Solutions,"Paris, France"
Roar Digital,51 to 200 employees,Company - Private,Gambling,"Jersey City, NJ"
Perficient,1001 to 5000 employees,Company - Public,IT Services,"Saint Louis, MO"
The Bank of New York Mellon,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
"Nesco Resource, LLC",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Cleveland, OH"
Kinship,1 to 50 employees,Company - Private,Advertising & Marketing,"Chicago, IL"
APN Consulting,1 to 50 employees,Company - Private,Advertising & Marketing,"Monmouth Junction, NJ"
Siri InfoSolutions,51 to 200 employees,Company - Private,Consulting,"Edison, NJ"
Integrated Resources,201 to 500 employees,Company - Private,Staffing & Outsourcing,"Edison, NJ"
Avani Technology Solutions,501 to 1000 employees,Company - Private,IT Services,"Rochester, NY"
Lorven Technologies Inc,1 to 50 employees,Company - Private,Accounting,"Plainsboro, NJ"
Altech Star Inc.,1 to 50 employees,Company - Private,Computer Hardware & Software,"West Windsor, NJ"
Wintellisys,1 to 50 employees,Company - Private,IT Services,"Memphis, TN"
Diverse Lynx,501 to 1000 employees,Company - Private,IT Services,"Princeton, NJ"
V R Della Infotech Inc,51 to 200 employees,Company - Private,Staffing & Outsourcing,"Dover, DE"
New York Times,1001 to 5000 employees,Company - Public,News Outlet,"New York, NY"
LanceSoft Inc,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Herndon, VA"
Diverse Lynx,501 to 1000 employees,Company - Private,IT Services,"Princeton, NJ"
Northwell Health,10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,"Lake Success, NY"
TechProjects,1 to 50 employees,Company - Private,IT Services,"North Brunswick, NJ"
Informa Intelligence,1001 to 5000 employees,Company - Public,Consulting,"London, United Kingdom"
Integra Managed Care,501 to 1000 employees,Subsidiary or Business Segment,Health Care Services & Hospitals,"Lake Success, NY"
RMS Computer,201 to 500 employees,Company - Private,Computer Hardware & Software,"New York, NY"
Healthfirst,1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,"New York, NY"
Jay Hill Repairs,1 to 50 employees,Company - Public,Commercial Equipment Repair & Maintenance,"Fairfield, NJ"
SAT Healthcare,201 to 500 employees,Company - Private,Health Care Services & Hospitals,"Santa Clara, CA"
American CyberSystems,10000+ employees,Company - Private,IT Services,"Duluth, GA"
The Bank of New York Mellon,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
M&T Bank Corporation,10000+ employees,Company - Public,Banks & Credit Unions,"Buffalo, NY"
SoluStaff,1 to 50 employees,Company - Private,IT Services,"Erdenheim, PA"
Oracle,10000+ employees,Company - Public,Enterprise Software & Network Solutions,"Redwood City, CA"
CMI/Compas,501 to 1000 employees,Company - Private,Advertising & Marketing,"King of Prussia, PA"
AbleTo,51 to 200 employees,Company - Private,Health Care Services & Hospitals,"New York, NY"
Reliable Software Resources,501 to 1000 employees,Company - Private,IT Services,"Northville, MI"
Eagle Investment Systems,501 to 1000 employees,Subsidiary or Business Segment,Investment Banking & Asset Management,"Wellesley, MA"
Kforce,10000+ employees,Company - Public,Staffing & Outsourcing,"Tampa, FL"
Hikma Pharmaceuticals,5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,"London, United Kingdom"
SMBC Group,10000+ employees,Company - Public,Investment Banking & Asset Management,"Tokyo, Japan"
Mount Sinai Medical Center,1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,"Miami Beach, FL"
Citi,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
JPMorgan Chase,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
Mitchell Martin,501 to 1000 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
VNA Health Group,1001 to 5000 employees,Nonprofit Organization,Social Assistance,"Holmdel, NJ"
Rockstar Games,1001 to 5000 employees,Subsidiary or Business Segment,Video Games,"New York, NY"
RMS Computer,201 to 500 employees,Company - Private,Computer Hardware & Software,"New York, NY"
Hexacorp,51 to 200 employees,Company - Private,IT Services,"Iselin, NJ"
TechProjects,1 to 50 employees,Company - Private,IT Services,"North Brunswick, NJ"
Informa,10000+ employees,Company - Public,Publishing,"London, United Kingdom"
Columbia University Medical Center,5001 to 10000 employees,Hospital,Health Care Services & Hospitals,"New York, NY"
Momentum Solar,501 to 1000 employees,Company - Private,Energy,"South Plainfield, NJ"
VIVA USA INC,51 to 200 employees,Company - Private,IT Services,"Rolling Meadows, IL"
ProHEALTH Medical Management,1001 to 5000 employees,Subsidiary or Business Segment,Health Care Services & Hospitals,"Lake Success, NY"
Reliable Software Resources,501 to 1000 employees,Company - Private,IT Services,"Northville, MI"
Donnelly & Moore Corporation,1 to 50 employees,Company - Private,Staffing & Outsourcing,"New City, NY"
J.P. Morgan,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
Saratoga Medical Center,201 to 500 employees,Company - Private,Health Care Services & Hospitals,"Fairfax, VA"
YAI/NIPD Network,5001 to 10000 employees,Nonprofit Organization,Social Assistance,"New York, NY"
Mount Sinai Medical Center,1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,"Miami Beach, FL"
Diverse Lynx,501 to 1000 employees,Company - Private,IT Services,"Princeton, NJ"
Quad Consultancy,1 to 50 employees,Company - Private,Consulting,"Mosta, Malta"
"Competent Systems, Inc",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,"Alpharetta, GA"
1199SEIU Funds,1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,"New York, NY"
Peloton Interactive,1001 to 5000 employees,Company - Public,"Health, Beauty, & Fitness","New York, NY"
Genpact,10000+ employees,Company - Public,IT Services,"New York, NY"
Disney Streaming Services,501 to 1000 employees,Company - Private,Internet,"New York, NY"
J.P. Morgan,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
EmblemHealth,1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,"New York, NY"
Reliable Software Resources,501 to 1000 employees,Company - Private,IT Services,"Northville, MI"
Reliable Software Resources,501 to 1000 employees,Company - Private,IT Services,"Northville, MI"
Jackson Hewitt,201 to 500 employees,Company - Private,Other Retail Stores,"Jersey City, NJ"
Reliable Software Resources,501 to 1000 employees,Company - Private,IT Services,"Northville, MI"
National Kidney Foundation,51 to 200 employees,Nonprofit Organization,Health Fundraising Organizations,"New York, NY"
Horizon Blue Cross Blue Shield of New Jersey,1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,"Newark, NJ"
IPRO,201 to 500 employees,Nonprofit Organization,Health Care Services & Hospitals,"N New Hyde Park, NY"
Criteo,1001 to 5000 employees,Company - Public,Internet,"Paris, France"
EmblemHealth,1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,"New York, NY"
ERGO,1 to 50 employees,Company - Private,Advertising & Marketing,"New York, NY"
ACT Consulting,1 to 50 employees,Company - Private,Consulting,"London, United Kingdom"
Tekfortune Inc.,1 to 50 employees,Company - Private,IT Services,"Piscataway, NJ"
"Intercontinental Exchange, Inc.",1001 to 5000 employees,Company - Public,Investment Banking & Asset Management,"Atlanta, GA"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
"8K Miles Software Services, Inc.",201 to 500 employees,Company - Public,Computer Hardware & Software,"Santa Clara, CA"
Two95 International Inc.,1 to 50 employees,Company - Private,Staffing & Outsourcing,"Cherry Hill, NJ"
VTS,201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,"New York, NY"
Robert Half,10000+ employees,Company - Public,Staffing & Outsourcing,"Menlo Park, CA"
Village Care,501 to 1000 employees,Nonprofit Organization,Health Care Services & Hospitals,"New York, NY"
Quest Diagnostics,10000+ employees,Company - Public,Health Care Services & Hospitals,"Secaucus, NJ"
Creative Data Resources,1 to 50 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
EVERSANA,1001 to 5000 employees,Company - Private,Biotech & Pharmaceuticals,"Chicago, IL"
National Grid USA,10000+ employees,Company - Public,Utilities,"Waltham, MA"
Aegis Media,1001 to 5000 employees,Subsidiary or Business Segment,Advertising & Marketing,"London, United Kingdom"
RMS Computer Corporation,201 to 500 employees,Company - Private,Computer Hardware & Software,"New York, NY"
J.P. Morgan,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
RAMPS International Inc,51 to 200 employees,Company - Private,Consulting,"Edison, NJ"
NYU Langone Health,10000+ employees,Hospital,Health Care Services & Hospitals,"New York, NY"
Professional Resource Group,1 to 50 employees,Company - Private,Advertising & Marketing,"Spring, TX"
Sumitomo Mitsui Banking Corporation (SMBC),10000+ employees,Company - Public,Investment Banking & Asset Management,"Tokyo, Japan"
Geller & Company,501 to 1000 employees,Company - Private,Investment Banking & Asset Management,"New York, NY"
Reliable Software Resources,501 to 1000 employees,Company - Private,IT Services,"Northville, MI"
"Intercontinental Exchange, Inc.",1001 to 5000 employees,Company - Public,Investment Banking & Asset Management,"Atlanta, GA"
The Bank of New York Mellon,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
Plymouth Rock Assurance,1001 to 5000 employees,Company - Private,Insurance Carriers,"Boston, MA"
Mount Sinai Health System,10000+ employees,Hospital,Health Care Services & Hospitals,"New York, NY"
SAT Healthcare,201 to 500 employees,Company - Private,Health Care Services & Hospitals,"Santa Clara, CA"
Atrium Staffing,51 to 200 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
eTeam Inc.,51 to 200 employees,Company - Private,Staffing & Outsourcing,"South Plainfield, NJ"
Oracle,10000+ employees,Company - Public,Enterprise Software & Network Solutions,"Redwood City, CA"
Metroplus Health Plan,1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,"New York, NY"
Avani Technology Solutions,501 to 1000 employees,Company - Private,IT Services,"Rochester, NY"
Primesoft,1 to 50 employees,Company - Private,IT Services,"LISBOA, Portugal"
