Company Name,Job Title,Average Salary,Industry,Location,Min Salary,Max Salary
Nutech Information Systems,Data Analyst with Excel/DAX/ PowerBI experience- Fulltime,66.5,Computer Hardware & Software,"New York, NY",46,87
NYU Langone Health,Data Science Analyst/Engineer,66.5,Health Care Services & Hospitals,"New York, NY",46,87
The Trevor Project,Data Analyst,66.5,Social Assistance,"New York, NY",46,87
Two95 International Inc.,Data Analyst -1+ year Contract - NYC,66.5,Staffing & Outsourcing,"New York, NY",46,87
Vettery,Data Analyst,66.5,Internet,"New York, NY",46,87
"Nesco Resource, LLC",Data Analyst,66.5,Staffing & Outsourcing,"New York, NY",46,87
Hearst Communications,Advertising Data Analyst,66.5,Advertising & Marketing,"New York, NY",46,87
MediaMath,Data Analyst,66.5,Advertising & Marketing,"New York, NY",46,87
Jordan & Jordan,Market Data Reporting Analyst,66.5,Brokerage Services,"New York, NY",46,87
Roku,"Senior Analyst, Data Science",66.5,IT Services,"New York, NY",46,87
Walt Disney Co.,"Senior Data Analyst, Disney+",66.5,Motion Picture Production & Distribution,"New York, NY",46,87
Xoriant Corporation,Business Data Analyst,66.5,IT Services,"Jersey City, NJ",46,87
Gemini,Senior Data Analyst,66.5,Brokerage Services,"New York, NY",46,87
"TSR, Inc.",Data Scientist / Big Data Analytics Analyst,66.5,Staffing & Outsourcing,"Weehawken, NJ",46,87
Walt Disney Co.,"Principal Data Analyst, LATAM - Disney Streaming Services",66.5,Motion Picture Production & Distribution,"New York, NY",46,87
Fragomen Worldwide,Data Analyst II,66.5,Legal,"New York, NY",46,87
Bloomberg,"Data Analyst - Environmental, Social, and Governance",66.5,Computer Hardware & Software,"New York, NY",46,87
Real Capital Analytics,Data Analyst,66.5,Real Estate,"New York, NY",46,87
Ro,"Data Analyst, Revenue Analytics",69.5,Health Care Services & Hospitals,"New York, NY",51,88
Perficient,Data Analyst - Data Acquisition / Data Lineage,69.5,IT Services,"New York, NY",51,88
Perficient,Data Analyst - Data Scanning utilizing Rochade,69.5,IT Services,"New York, NY",51,88
Perficient,Data Analyst - Stitching,69.5,IT Services,"New York, NY",51,88
Kforce,Junior Data Analyst,69.5,Staffing & Outsourcing,"New York, NY",51,88
Criteo,"Data Analyst, Retail Media",69.5,Internet,"New York, NY",51,88
Royal Communications,Data Analyst,69.5,IT Services,"New York, NY",51,88
Neuberger Berman,Portfolio Data Analyst,69.5,Investment Banking & Asset Management,"New York, NY",51,88
Diverse Lynx,Data/Reporting Analyst,69.5,IT Services,"New York, NY",51,88
eTeam Inc.,Data Analyst 2,69.5,Staffing & Outsourcing,"New York, NY",51,88
impakt Advisors,Entry Level Data Analyst,69.5,Consulting,"New York, NY",51,88
Citi,Data/Information Mgt Analyst,69.5,Investment Banking & Asset Management,"New York, NY",51,88
Axelon Services Corporation,Business Data Analyst,69.5,Staffing & Outsourcing,"New York, NY",51,88
United Nations,Information Systems Officer (Data Analyst),69.5,Federal Agencies,"New York, NY",51,88
"Discovery Communications, Inc.",Media Science Big Data Analyst,69.5,TV Broadcast & Cable Networks,"New York, NY",51,88
Randstad,Data Analyst,69.5,Staffing & Outsourcing,"Jersey City, NJ",51,88
Two95 International Inc.,Data analyst with Python,69.5,Staffing & Outsourcing,"New York, NY",51,88
"EDO, Inc.",Data Analyst,69.5,Internet,"New York, NY",51,88
Guidepoint,"Healthcare Data Analyst, Qsight",69.5,Research & Development,"New York, NY",51,88
Mitchell Martin,BA/Data Analyst,69.5,Staffing & Outsourcing,"New York, NY",51,88
Lorven Technologies Inc,Data Analyst Python,69.5,Accounting,"New York, NY",51,88
Sphinix Network Solutions Inc.,Data Analyst-BA,69.5,IT Services,"New York, NY",51,88
Praescient Analytics,Data Analytics Solutions Analyst,69.5,Consulting,"New York, NY",51,88
Global Atlantic Financial Group,Quantitative Data Analyst,69.5,Insurance Carriers,"New York, NY",51,88
FINRA,Data Analyst,69.5,Brokerage Services,"New York, NY",51,88
Jefferies,"Descriptive Analytics Data Analyst, IB",69.0,Investment Banking & Asset Management,"New York, NY",51,87
RGP,Data Analyst,69.0,Consulting,"New York, NY",51,87
Tachyon Technologies,Data Analyst,69.0,IT Services,"New York, NY",51,87
Apex Systems,Data Analyst,69.0,Staffing & Outsourcing,"Jersey City, NJ",51,87
Hagerty Consulting,Data Analyst,69.0,Consulting,"New York, NY",51,87
Gainful Health,Data Analyst,69.0,Food & Beverage Stores,"New York, NY",51,87
Cortex consultants LLC,Business Data Analyst,69.0,Consulting,"New York, NY",51,87
Medly Pharmacy,Data Analyst,69.0,Health Care Services & Hospitals,"Brooklyn, NY",51,87
Peloton Interactive,Supply Chain Data Analyst,69.0,"Health, Beauty, & Fitness","New York, NY",51,87
ektello,Data Analyst - IBM Tool Set,69.0,Staffing & Outsourcing,"New York, NY",51,87
"Premier, Inc.",Analyst-Data Integrity,69.0,Health Care Services & Hospitals,"New York, NY",51,87
JPMorgan Chase,"Reference Data Operations Analyst - Index Instrument, Associate",69.0,Investment Banking & Asset Management,"New York, NY",51,87
Fund for Public Health,Data Analyst,69.0,Social Assistance,"Long Island City, NY",51,87
Crossfire Consulting Corporation,Data/Systems Analyst,69.0,Consulting,"New York, NY",51,87
Reliable Software Resources,Data Analyst,69.0,IT Services,"New York, NY",51,87
My Job Tank,Data Analyst Intern,69.0,IT Services,"Jersey City, NJ",51,87
Cowen,"Data Analytics Analyst or Associate, Cowen Sustainable Investments",69.0,Investment Banking & Asset Management,"New York, NY",51,87
Robert Half,Data Reporting Analyst,69.0,Staffing & Outsourcing,"New York, NY",51,87
FJA-US Inc.,Data Analyst,69.0,Computer Hardware & Software,"New York, NY",51,87
Averity,Data Analyst,69.0,Staffing & Outsourcing,"New York, NY",51,87
Capgemini,Data Analyst,69.0,Enterprise Software & Network Solutions,"Jersey City, NJ",51,87
Wildlife Conservation Society,ERP Data Analyst,69.0,Social Assistance,"New York, NY",51,87
Asembia,Data Analyst,69.0,Biotech & Pharmaceuticals,"Florham Park, NJ",51,87
Vesta Healthcare,Healthcare Data/Reporting Analyst,69.0,Health Care Services & Hospitals,"New York, NY",51,87
1199SEIU Funds,PBM Data Analyst,69.0,Insurance Carriers,"New York, NY",51,87
Nutrafol,Data Analyst (Temporary Assignment),72.0,"Health, Beauty, & Fitness","New York, NY",59,85
New York Life Insurance Co,Data Analyst,72.0,Insurance Agencies & Brokerages,"New York, NY",59,85
"EDP World, Inc.",Market Data Analyst,72.0,Staffing & Outsourcing,"New York, NY",59,85
"Staffigo Technical Services, LLC",Junior Data Analyst,72.0,IT Services,"New York, NY",59,85
IBM,Microsoft Dynamics CRM Data Analyst,72.0,IT Services,"New York, NY",59,85
Northwell Health,Practice Analyst Data,72.0,Health Care Services & Hospitals,"Manhasset, NY",59,85
Huxley,Buyside - Data Scientist/Research Analyst,72.0,Staffing & Outsourcing,"New York, NY",59,85
Vericred,Data Analyst - Healthcare Provider Networks and Formularies,72.0,Internet,"New York, NY",59,85
Scotiabank,Electronic Trading Data Analyst,72.0,Investment Banking & Asset Management,"New York, NY",59,85
Child Mind Institute,"Data Analyst, Center for Developing Brain",72.0,Health Care Services & Hospitals,"New York, NY",59,85
Balance Innovations,Data Processing & Performance Analyst,72.0,Computer Hardware & Software,"New York, NY",59,85
Asset Staffing,Business Analyst - Data Analyst,72.0,Staffing & Outsourcing,"Newark, NJ",59,85
Reliable Software Resources,Data Analyst with Rochade,72.0,IT Services,"New York, NY",59,85
"Hearst Television, Inc",Advertising Data Analyst,72.0,TV Broadcast & Cable Networks,"New York, NY",59,85
William Hill US,Product Analyst - Data,72.0,Gambling,"Jersey City, NJ",59,85
Rockstar Games,Senior Data Analyst,72.0,Video Games,"New York, NY",59,85
Decision Resources Group,Market Research Data Analyst - Physician Technology,72.0,IT Services,"New York, NY",59,85
"NTT DATA, Inc.",Look ML Data Analyst,72.0,Accounting,"New York, NY",59,85
Columbia University,Data Collection Analyst,72.0,Colleges & Universities,"New York, NY",59,85
Precision technologies corp,Data Analyst,72.0,IT Services,"New York, NY",59,85
Cactus Holdings,DATA ENTRY/ BILLING ANALYST,72.0,Research & Development,"Queens Village, NY",59,85
Cuny Research Foundation,Student Persistence Initiative Data Analyst/Scientist,72.0,Colleges & Universities,"New York, NY",59,85
SGA Inc.,Data Quality Analyst,72.0,Architectural & Engineering Services,"New York, NY",59,85
Crossfire Consulting Corporation,Data Governance Analyst,72.0,Consulting,"New York, NY",59,85
Amazon,Sr. Business Intelligence Engineer / Data Analyst,72.0,Internet,"New York, NY",59,85
"NTT DATA, Inc.",Data Analyst,72.0,Accounting,"New York, NY",59,85
NYU Langone Health,Data Analyst,59.5,Health Care Services & Hospitals,"New York, NY",43,76
HOMETEAM,Healthcare Data/Reporting Analyst,59.5,Health Care Services & Hospitals,"New York, NY",43,76
Mount Sinai Health System,Data Analyst I - Geriatrics and Palliative Care,59.5,Health Care Services & Hospitals,"New York, NY",43,76
"Halcyon Solutions, Inc.",Data Analyst/Rochade,59.5,IT Services,"New York, NY",43,76
COUNCIL ON ACCREDITATION,Data Analyst,59.5,Social Assistance,"New York, NY",43,76
Mount Sinai Health System,"Data Analyst II, Division of Gastroenterology (Research)",59.5,Health Care Services & Hospitals,"New York, NY",43,76
Child Mind Institute,"Data Analyst, Student Success Program",59.5,Health Care Services & Hospitals,"New York, NY",43,76
COOLSOFT,Big Data QA Analyst with Jupyter notebook,59.5,"Health, Beauty, & Fitness","Newark, NJ",43,76
451 Research,"Analyst, Data Centers Industry",59.5,Research & Development,"New York, NY",43,76
Amenity Analytics,Financial - Data Analyst,59.5,Enterprise Software & Network Solutions,"New York, NY",43,76
"Halcyon Solutions, Inc.",Data Analyst with Data Scanning and Profiling,59.5,IT Services,"New York, NY",43,76
Rockstar Games,Business Analyst - Data Governance,59.5,Video Games,"New York, NY",43,76
Vericred,Senior Data Analyst - Health Economist,59.5,Internet,"New York, NY",43,76
APCO Worldwide,Research Analyst (Data Science),59.5,Consulting,"New York, NY",43,76
Brooklyn Community Services,Data Management Analyst,59.5,Social Assistance,"Brooklyn, NY",43,76
Softcom Systems,Business Analyst / Data Analyst,59.5,IT Services,"Weehawken, NJ",43,76
Diverse Lynx,Healthcare Data/Reporting Analyst,59.5,IT Services,"New York, NY",43,76
UBS,Sr. Data Profiling Analyst,59.5,Investment Banking & Asset Management,"New York, NY",43,76
Workforce Logiq,Data Analyst,59.5,Consulting,"Haworth, NJ",43,76
Cross River Bank,Data Analyst,59.5,Banks & Credit Unions,"Fort Lee, NJ",43,76
NBCUniversal,"Sr. Data Analyst, Revenue Analytics, Peacock",59.5,TV Broadcast & Cable Networks,"New York, NY",43,76
Narrativ,Senior Data Analyst,59.5,Internet,"New York, NY",43,76
Perficient,Senior Data Analyst - Data Cataloging / Data Profiling,59.5,IT Services,"New York, NY",43,76
Lorven Technologies Inc,Data/Report Analyst,85.0,Accounting,"New York, NY",60,110
Bounce Exchange,Senior Data Analyst,85.0,Advertising & Marketing,"New York, NY",60,110
Green Key Resources,Human Capital Data Analyst,85.0,Staffing & Outsourcing,"New York, NY",60,110
22nd Century Technologies,GIS Data analyst,85.0,IT Services,"New York, NY",60,110
Praescient Analytics,Junior Data Analytics Solutions Analyst,85.0,Consulting,"New York, NY",60,110
Software Guidance & Assistance,Data Analyst w/Capital Markets,85.0,Staffing & Outsourcing,"Jersey City, NJ",60,110
Citi,"VP, Research Project Analyst/Data Management",85.0,Investment Banking & Asset Management,"New York, NY",60,110
Metropolitan Council on Jewish Poverty,Food Data Analyst,85.0,Social Assistance,"New York, NY",60,110
TSR Consulting,Data Management Analyst,85.0,Staffing & Outsourcing,"New York, NY",60,110
UBS,Data Governance Analyst,85.0,Investment Banking & Asset Management,"Weehawken, NJ",60,110
"Take-Two Interactive Software, Inc.","Data Analyst, Enterprise Analytics",85.0,Video Games,"New York, NY",60,110
Praescient Analytics,Data Analytics Solutions Analyst - Mid with Security Clearance,85.0,Consulting,"New York, NY",60,110
Morgan Stanley,Investment Management Summer Analyst Program - Office of COO: Data & Analytics,85.0,Investment Banking & Asset Management,"New York, NY",60,110
ICAP at Columbia University,Data Collection Analyst,85.0,Health Care Services & Hospitals,"New York, NY",60,110
Columbia University Medical Center,Data Collection Analyst,85.0,Health Care Services & Hospitals,"New York, NY",60,110
Xoriant Corporation,Sr Business /Data Analyst- Reference data,85.0,IT Services,"Jersey City, NJ",60,110
Montefiore Medical,SENIOR DATA ANALYST,85.0,Health Care Services & Hospitals,"New York, NY",60,110
Cedent Consulting,Senior Data Analyst / Scientist,85.0,Consulting,"New York, NY",60,110
ACS,Senior Data Analyst - Regulatory Reporting,85.0,General Repair & Maintenance,"New York, NY",60,110
NADAP,Data Reporting Analyst,85.0,Social Assistance,"New York, NY",60,110
SGA Inc.,Data Governance Analyst,85.0,Architectural & Engineering Services,"New York, NY",60,110
VISTRADA,Senior Data Analyst (6-12 Month Contract-Remote),85.0,Advertising & Marketing,"New York, NY",60,110
Disney Streaming Services,"Principal Data Analyst, LATAM – Disney Streaming Services",85.0,Internet,"New York, NY",60,110
Royal Communications Consultants Inc,Data Analyst- Win 10 Migration- NYC,85.0,IT Services,"New York, NY",60,110
CASES,Data Analyst (35 hours/week),85.0,Social Assistance,"New York, NY",60,110
Sphinix Network Solutions Inc.,Tech Business/Data Analyst,85.0,IT Services,"New York, NY",60,110
"Staffigo Technical Services, LLC",Data Analyst,59.5,IT Services,"New York, NY",41,78
Earnest Research,"Senior Data Analyst, Financial Services",59.5,Research & Development,"New York, NY",41,78
Bloomberg,"Enterprise Data, Financial Data Analyst - Content Design Specialist Contractor",59.5,Computer Hardware & Software,"New York, NY",41,78
APN Software Services Inc.,Data Analyst,59.5,Computer Hardware & Software,"New York, NY",41,78
Acacia Network,Data Analyst,59.5,Social Assistance,"Bronx, NY",41,78
"EDP World, Inc.",Data Remediation Analyst-EK020719A/JL,59.5,Staffing & Outsourcing,"New York, NY",41,78
Citi,Business Analyst - Chief Data Office,59.5,Investment Banking & Asset Management,"New York, NY",41,78
Walt Disney Co.,"Senior Analyst, Data Instrumentation & Quality (Disney+)",59.5,Motion Picture Production & Distribution,"New York, NY",41,78
NTT DATA,Sr. Data Analyst,59.5,IT Services,"New York, NY",41,78
"TSR, Inc.",Big Data Programmer Analyst,59.5,Staffing & Outsourcing,"Jersey City, NJ",41,78
Fidelis Group,Data Analyst,59.5,Consulting,"Little Ferry, NJ",41,78
Eclaro,Data Governance Analyst,59.5,Staffing & Outsourcing,"New York, NY",41,78
Source of Future Technology Inc,Financial Data Analyst - Accounting - D3529,59.5,Computer Hardware & Software,"New York, NY",41,78
Brink's,"Data Processing & Performance Analyst New York, NY",59.5,Security Services,"New York, NY",41,78
Seven Seven Softwares,Data Analyst,59.5,IT Services,"Newark, NJ",41,78
Mobilityware,Senior Data Analyst,59.5,Video Games,"New York, NY",41,78
TechProjects,Data Analyst-Junior Profiles also works-Only NY/NJ Candidates Please on w2 Only,59.5,IT Services,"Jersey City, NJ",41,78
Mitchell Martin,Business Analyst-Market Data,59.5,Staffing & Outsourcing,"Jersey City, NJ",41,78
RMS Computer Corporation,Content Analyst/Data BA-Bus/Tech Strategy - Investment Bank,59.5,Computer Hardware & Software,"Jersey City, NJ",41,78
ProHEALTH Care,Data Analyst,59.5,Health Care Services & Hospitals,"Lake Success, NY",41,78
2U,"Senior Analyst, AB Testing and Data Operations",59.5,Enterprise Software & Network Solutions,"New York, NY",41,78
Mount Sinai Medical Center,Data Analyst I - Geriatrics and Palliative Care,59.5,Health Care Services & Hospitals,"New York, NY",41,78
Professional Resource Group,Data Analyst,59.5,Advertising & Marketing,"Lake Success, NY",41,78
JPMorgan Chase,Senior Business and Data Analyst,59.5,Investment Banking & Asset Management,"New York, NY",41,78
Capgemini,Data Analyst II,66.5,Enterprise Software & Network Solutions,"Jersey City, NJ",45,88
IPRO,Data Analyst II,66.5,Health Care Services & Hospitals,"Lake Success, NY",45,88
Brown Brothers Harriman,Lead Generation Data Analyst,66.5,Investment Banking & Asset Management,"New York, NY",45,88
NYC Health + Hospitals,"DnA Ambassador (Clinical Business Analyst - Level 1), Data & Analytics/Re-post",66.5,Health Care Services & Hospitals,"New York, NY",45,88
Mount Sinai Medical Center,Data Analyst I - Genetics & Genomic Sciences,66.5,Health Care Services & Hospitals,"New York, NY",45,88
Horizon Blue Cross Blue Shield of New Jersey,Data Reporting Analyst III,66.5,Insurance Carriers,"Newark, NJ",45,88
Columbia University,Data Analyst - CBCH,66.5,Colleges & Universities,"New York, NY",45,88
Walt Disney Company,"Principal Data Analyst, LATAM Disney Streaming Services",66.5,Motion Picture Production & Distribution,"New York, NY",45,88
Diverse Lynx,Data Engineer/Data Analyst,66.5,IT Services,"New York, NY",45,88
Capgemini,Technical Business/Data Analyst,100.0,Enterprise Software & Network Solutions,"New York, NY",73,127
Roar Digital,CRM Data Performance Analyst,100.0,Gambling,"New York, NY",73,127
Perficient,Senior Data Analyst - Rochade,100.0,IT Services,"New York, NY",73,127
The Bank of New York Mellon,2021 Summer Analyst Program- Data & Analytics Solutions,100.0,Investment Banking & Asset Management,"New York, NY",73,127
"Nesco Resource, LLC",Data Analyst - QC,100.0,Staffing & Outsourcing,"New York, NY",73,127
Kinship,Lead Data Analyst (Product),100.0,Advertising & Marketing,"New York, NY",73,127
APN Consulting,Data Analyst - III,100.0,Advertising & Marketing,"New York, NY",73,127
Siri InfoSolutions,SQL Data Analyst,100.0,Consulting,"Summit, NJ",73,127
Integrated Resources,Healthcare Data/Reporting Analyst,100.0,Staffing & Outsourcing,"New York, NY",73,127
Avani Technology Solutions,"JPSC-8461 - Position: 13,52,53 Data Analyst",100.0,IT Services,"New York, NY",73,127
Lorven Technologies Inc,Data Analyst - Analytics/SQL,87.0,Accounting,"New York, NY",84,90
Altech Star Inc.,Data Analyst-Excel,87.0,Computer Hardware & Software,"New York, NY",84,90
Wintellisys,Data Remediation Analyst,87.0,IT Services,"New York, NY",84,90
Diverse Lynx,Data Analyst with Python or Python developer,87.0,IT Services,"New York, NY",84,90
V R Della Infotech Inc,Data Entry Clerk / Data analyst,87.0,Staffing & Outsourcing,"Haworth, NJ",84,90
New York Times,"Senior Analyst, Data and Insights (Wirecutter)",87.0,News Outlet,"New York, NY",84,90
LanceSoft Inc,Data Governance Analyst,87.0,Staffing & Outsourcing,"New York, NY",84,90
Diverse Lynx,Data Analyst with Python,87.0,IT Services,"New York, NY",84,90
Northwell Health,Analyst Business Data,87.0,Health Care Services & Hospitals,"Manhasset, NY",84,90
TechProjects,Sr. Datastage and Data Analyst,87.0,IT Services,"New York, NY",84,90
Informa Intelligence,Consumer Lending Data Analyst,87.0,Consulting,"New York, NY",84,90
Integra Managed Care,Encounter Data Analyst,87.0,Health Care Services & Hospitals,"Lake Success, NY",84,90
RMS Computer,Business Analyst/PM/Data Analyst - Investment Bank,87.0,Computer Hardware & Software,"Jersey City, NJ",84,90
Healthfirst,"Healthcare Analyst, Claims/Encounter Data",39.5,Insurance Carriers,"New York, NY",27,52
Jay Hill Repairs,Data Analyst,39.5,Commercial Equipment Repair & Maintenance,"Fairfield, NJ",27,52
SAT Healthcare,TX Healthcare Data/Reporting Analyst,39.5,Health Care Services & Hospitals,"New York, NY",27,52
American CyberSystems,Senior Data Analyst - Regulatory Reporting,39.5,IT Services,"New York, NY",27,52
The Bank of New York Mellon,Senior Specialist Data Analyst,39.5,Investment Banking & Asset Management,"New York, NY",27,52
M&T Bank Corporation,SQL Report Developer Data Analyst,39.5,Banks & Credit Unions,"New York, NY",27,52
SoluStaff,Clinical Data Analyst,39.5,IT Services,"Brooklyn, NY",27,52
Oracle,"Data Analyst,, Sales Operations - Oracle Data Cloud",39.5,Enterprise Software & Network Solutions,"New York, NY",27,52
CMI/Compas,"Senior Analyst, Data Analytics",39.5,Advertising & Marketing,"New York, NY",27,52
AbleTo,Senior Data Analyst (Product),39.5,Health Care Services & Hospitals,"New York, NY",27,52
Reliable Software Resources,Senior Data Analyst - Data Cataloging / Data Profiling,39.5,IT Services,"New York, NY",27,52
Eagle Investment Systems,2021 Summer Analyst Program- Data & Analytics Solutions,39.5,Investment Banking & Asset Management,"New York, NY",27,52
Kforce,Technical Data Analyst,39.5,Staffing & Outsourcing,"Summit, NJ",27,52
Hikma Pharmaceuticals,"Senior Analyst, Customer Master Data",39.5,Biotech & Pharmaceuticals,"Berkeley Heights, NJ",27,52
SMBC Group,Data Analyst/Project Manager,39.5,Investment Banking & Asset Management,"Jersey City, NJ",27,52
Mount Sinai Medical Center,Data Analyst II - Division of Endocrinology,39.5,Health Care Services & Hospitals,"New York, NY",27,52
Citi,Sr. Reference Data Business Analyst - SQL,39.5,Investment Banking & Asset Management,"Jersey City, NJ",27,52
JPMorgan Chase,Data Management Analyst (ADDM04) SEC SVCS OPS DATA GOVERNANCE - NA,39.5,Investment Banking & Asset Management,"Brooklyn, NY",27,52
Mitchell Martin,BA With Data Analyst Skills,39.5,Staffing & Outsourcing,"Jersey City, NJ",27,52
VNA Health Group,"Data & Reporting Analyst, GNHCC",39.5,Social Assistance,"Essex Fells, NJ",27,52
Rockstar Games,Principal Business Analyst - Data Governance,39.5,Video Games,"New York, NY",27,52
RMS Computer,Business Analyst/Data Analyst - Capital Markets,39.5,Computer Hardware & Software,"Jersey City, NJ",27,52
Hexacorp,".net, sharepoint, Java, Data analyst, Business Analyst",39.5,IT Services,"New York, NY",27,52
TechProjects,ETL Datastage Developer/IBM Infosphere Datastage Consultant(ETL Data Analyst)-Only NY/NJ candidates Please,39.5,IT Services,"New York, NY",27,52
Informa,Consumer Lending Data Analyst,39.5,Publishing,"New York, NY",27,52
Columbia University Medical Center,Data Analyst - CBCH,39.5,Health Care Services & Hospitals,"New York, NY",27,52
Momentum Solar,Solar Data Analyst,39.5,Energy,"South Plainfield, NJ",27,52
VIVA USA INC,Data Science Lead Analyst,39.5,IT Services,"Franklin Lakes, NJ",27,52
ProHEALTH Medical Management,Clinical Data Analyst,58.0,Health Care Services & Hospitals,"Lake Success, NY",42,74
Reliable Software Resources,"Remote: Data Analyst (Data Lineage, Financial industry)_Long term",58.0,IT Services,"New York, NY",42,74
Donnelly & Moore Corporation,Data Governance Analyst,58.0,Staffing & Outsourcing,"New York, NY",42,74
J.P. Morgan,"Data Management, Firmwide Data Quality, Analyst",58.0,Investment Banking & Asset Management,"Newark, NJ",42,74
Saratoga Medical Center,Compensation and Data Analyst (Human Resources),58.0,Health Care Services & Hospitals,"New York, NY",42,74
YAI/NIPD Network,Senior Data Analyst,58.0,Social Assistance,"New York, NY",42,74
Mount Sinai Medical Center,"Data Analyst II, Division of Gastroenterology (Research)",58.0,Health Care Services & Hospitals,"New York, NY",42,74
Diverse Lynx,NY Healthcare Data/Reporting Analyst,58.0,IT Services,"New York, NY",42,74
Quad Consultancy,Data Analyst,58.0,Consulting,"Mount Vernon, NY",42,74
"Competent Systems, Inc",Big Data QA Analyst / QA Tester / Test Analyst,58.0,Enterprise Software & Network Solutions,"Jersey City, NJ",42,74
1199SEIU Funds,Senior Data Analyst,58.0,Insurance Carriers,"New York, NY",42,74
Peloton Interactive,Senior Supply Chain Data Analyst,58.0,"Health, Beauty, & Fitness","New York, NY",42,74
Genpact,"Data Analyst, Capital Markets (Manager)",58.0,IT Services,"New York, NY",42,74
Disney Streaming Services,"Senior Analyst, Data Instrumentation & Quality (Disney+)",58.0,Internet,"New York, NY",42,74
J.P. Morgan,CIB F&BM Global Program Management EMEA - International Regulatory - Data Provisioning Business Analyst - Associate,58.0,Investment Banking & Asset Management,"New York, NY",42,74
EmblemHealth,Senior IT Technical Data Analyst,58.0,Insurance Carriers,"New York, NY",42,74
Reliable Software Resources,Data Analyst/Data Acquisition Speciliest with Financial Industry Exp,58.0,IT Services,"New York, NY",42,74
Reliable Software Resources,Data Analyst/Data Scanning with Financial Industry exp,58.0,IT Services,"New York, NY",42,74
Jackson Hewitt,"Sr Business Analyst, Data Science",58.0,Other Retail Stores,"Jersey City, NJ",42,74
Reliable Software Resources,Senior Data Analyst - Data Governance,58.0,IT Services,"New York, NY",42,74
National Kidney Foundation,"Senior Manager, Data Analyst",58.0,Health Fundraising Organizations,"New York, NY",42,74
Horizon Blue Cross Blue Shield of New Jersey,Risk Adjustment Data Analyst,58.0,Insurance Carriers,"Newark, NJ",42,74
IPRO,Data Analyst III,58.0,Health Care Services & Hospitals,"Lake Success, NY",42,74
Criteo,"Sr. Data Analyst, Retail Media",104.5,Internet,"New York, NY",77,132
EmblemHealth,Sr IT Technical Data Analyst,104.5,Insurance Carriers,"New York, NY",77,132
ERGO,Senior Marketing Data Analyst,104.5,Advertising & Marketing,"New York, NY",77,132
ACT Consulting,Data Analyst III,104.5,Consulting,"New York, NY",77,132
Tekfortune Inc.,TX Healthcare Data/Reporting Analyst,104.5,IT Services,"New York, NY",77,132
"Intercontinental Exchange, Inc.",Senior SQL Data Warehouse Analyst,104.5,Investment Banking & Asset Management,"New York, NY",77,132
"Staffigo Technical Services, LLC",Data Analyst Junior,104.5,IT Services,"New York, NY",77,132
