,Job Title,Salary Estimate,Company Name,Location,Size,Type of ownership,Industry,Sector
466,Data Analyst,$43K-$69K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","Hampton, VA",51 to 200 employees,Company - Private,IT Services,Information Technology
467,Data Analyst,$43K-$69K (Glassdoor est.),"Orbis, Inc.
4.9","Portsmouth, VA",201 to 500 employees,Company - Private,Architectural & Engineering Services,Business Services
468,Data Analyst,$43K-$69K (Glassdoor est.),"Dunhill Professional Search
3.4","Chesapeake, VA",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
469,Finance Data Analytics Analyst,$43K-$69K (Glassdoor est.),"Smithfield
3.1","Smithfield, VA",10000+ employees,Subsidiary or Business Segment,Food & Beverage Manufacturing,Manufacturing
470,Business Intelligence/Data Analyst with Security Clearance,$43K-$69K (Glassdoor est.),"Booz Allen Hamilton
3.8","Suffolk, VA",10000+ employees,Company - Public,Consulting,Business Services
471,Research & Data Analyst,$43K-$69K (Glassdoor est.),"EVMS
1.0","Norfolk, VA",501 to 1000 employees,Company - Private,Vehicle Dealers,Retail
472,Metrics & Data Analyst,$43K-$69K (Glassdoor est.),"Epsilon Systems Solutions, Inc.
3.5","Norfolk, VA",501 to 1000 employees,Company - Private,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance"
473,Tactical Data Link (TDL) Analyst-,$43K-$69K (Glassdoor est.),"Oasis Systems
3.8","Hampton, VA",1001 to 5000 employees,Company - Private,IT Services,Information Technology
474,Senior Data Analyst- Secret Clearance-,$43K-$69K (Glassdoor est.),"Counter Threat Solutions
5.0","Norfolk, VA",51 to 200 employees,Company - Private,Consulting,Business Services
475,Data Analyst Junior,$43K-$69K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","Hampton, VA",51 to 200 employees,Company - Private,IT Services,Information Technology
476,HQ Data Analyst,$43K-$69K (Glassdoor est.),"ITA International
3.0","Newport News, VA",201 to 500 employees,Company - Public,Accounting,Accounting & Legal
477,USMTF Data Analyst,$43K-$69K (Glassdoor est.),"Oasis Systems
3.8","Hampton, VA",1001 to 5000 employees,Company - Private,IT Services,Information Technology
478,Mid Data Analyst,$43K-$69K (Glassdoor est.),"Orbis, Inc.
4.9","Portsmouth, VA",201 to 500 employees,Company - Private,Architectural & Engineering Services,Business Services
479,Product Data Business Analyst,$43K-$69K (Glassdoor est.),Ferguson Experienced,"Newport News, VA",-1,-1,-1,-1
480,Retail Data Quality Analyst,$43K-$69K (Glassdoor est.),"Liberty Source
3.5","Hampton, VA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
481,USMTF Data Analyst with Security Clearance,$43K-$69K (Glassdoor est.),"Oasis Systems, LLC
3.8","Hampton, VA",1001 to 5000 employees,Company - Private,IT Services,Information Technology
482,Senior Data Strategy Analyst (SDSA),$43K-$69K (Glassdoor est.),"National Capitol Contracting (NCC)
3.2","Norfolk, VA",51 to 200 employees,Company - Private,Telecommunications Services,Telecommunications
483,Data Analyst - Va Beach - VA with Security Clearance,$43K-$69K (Glassdoor est.),"Occam Solutions Inc
3.1","Virginia Beach, VA",1 to 50 employees,Company - Private,Consulting,Business Services
484,Configuration and Data Management (C&DM) Analyst,$43K-$69K (Glassdoor est.),"Analytical Mechanics Associates
3.5","Hampton, VA",201 to 500 employees,Company - Private,Consulting,Business Services
485,Jr Management Analyst (Data Management),$43K-$69K (Glassdoor est.),"GStek, Inc.
3.2","Yorktown, VA",201 to 500 employees,Company - Private,Aerospace & Defense,Aerospace & Defense
486,Senior Data Analyst,$43K-$69K (Glassdoor est.),"Orbis, Inc.
4.9","Portsmouth, VA",201 to 500 employees,Company - Private,Architectural & Engineering Services,Business Services
487,Tactical Data Link (TDL) Analyst,$49K-$112K (Glassdoor est.),"Oasis Systems
3.8","Hampton, VA",1001 to 5000 employees,Company - Private,IT Services,Information Technology
488,Sr Data Business Analyst - FacilitySource,$49K-$112K (Glassdoor est.),"CBRE
3.7","Chesapeake, VA",10000+ employees,Company - Public,Real Estate,Real Estate
489,Acoustics Data Analyst/Flight Test Engineer,$49K-$112K (Glassdoor est.),"Analytical Mechanics Associates
3.5","Hampton, VA",201 to 500 employees,Company - Private,Consulting,Business Services
490,Senior Data Analyst,$49K-$112K (Glassdoor est.),"Bluemont Technology & Research, Inc.
1.0","Norfolk, VA",1 to 50 employees,Company - Private,-1,-1
491,Senior Data Analyst- Secret Clearance,$49K-$112K (Glassdoor est.),"Counter Threat Solutions
5.0","Norfolk, VA",51 to 200 employees,Company - Private,Consulting,Business Services
492,Senior Data Management Analyst (SDMA),$49K-$112K (Glassdoor est.),"National Capitol Contracting (NCC)
3.2","Norfolk, VA",51 to 200 employees,Company - Private,Telecommunications Services,Telecommunications
493,Data Analyst - Senior Consultant,$49K-$112K (Glassdoor est.),"Guidehouse
3.4","Norfolk, VA",5001 to 10000 employees,Company - Private,Consulting,Business Services
494,Data Warehouse Programmer/Analyst,$49K-$112K (Glassdoor est.),"AXSEUM Inc
3.1","Fort Eustis, VA",51 to 200 employees,Company - Private,Consulting,Business Services
495,Data Analyst (Navy) - Mid and Junior Level,$49K-$112K (Glassdoor est.),"Tamayo Federal Solutions, LLC","Portsmouth, VA",-1,-1,-1,-1
496,"Data Analyst - Senior Consultant - Norfolk, VA with Security Clearance",$49K-$112K (Glassdoor est.),"Guidehouse
3.4","Norfolk, VA",5001 to 10000 employees,Company - Private,Consulting,Business Services
497,Program Analyst - AIS/Maintenance Data System Coordinator,$49K-$112K (Glassdoor est.),"Epsilon Systems Solutions, Inc.
3.5","Norfolk, VA",501 to 1000 employees,Company - Private,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance"
498,MSC Logistics Data Analyst,$49K-$112K (Glassdoor est.),"CACI International
3.6","Norfolk, VA",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense
499,Data Analyst (Navy) - Mid Level,$49K-$112K (Glassdoor est.),"Tamayo Federal Solutions, LLC","Portsmouth, VA",-1,-1,-1,-1
500,Business Intelligence & Data Analyst,$49K-$112K (Glassdoor est.),"PROSOFT
3.7","Norfolk, VA",201 to 500 employees,Contract,IT Services,Information Technology
501,Sr Data Business Analyst - FacilitySource,$49K-$112K (Glassdoor est.),"FacilitySource
3.6","Chesapeake, VA",1001 to 5000 employees,Company - Public,Building & Personnel Services,Business Services
502,Senior Data Analyst (Navy),$49K-$112K (Glassdoor est.),"Tamayo Federal Solutions, LLC","Portsmouth, VA",-1,-1,-1,-1
503,NIWC Service Desk Analyst Component Enterprise Data Center (CEDC with Security Clearance,$49K-$112K (Glassdoor est.),"Universal Consulting Services
3.3","Norfolk, VA",201 to 500 employees,Company - Private,IT Services,Information Technology
504,NIWC Service Desk Analyst Component Enterprise Data Center (CEDC).,$49K-$112K (Glassdoor est.),"Universal Consulting Services, Inc.
3.3","Norfolk, VA",201 to 500 employees,Company - Private,IT Services,Information Technology
505,Junior Data Analyst,$30K-$54K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","Gainesville, FL",51 to 200 employees,Company - Private,IT Services,Information Technology
506,Data Analyst,$30K-$54K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","Gainesville, FL",51 to 200 employees,Company - Private,IT Services,Information Technology
507,Data Analyst,$30K-$54K (Glassdoor est.),"University of Florida
4.3","Gainesville, FL",10000+ employees,College / University,Colleges & Universities,Education
508,AvMed Data Governance Analyst,$30K-$54K (Glassdoor est.),"AvMed Health Plans
3.1","Gainesville, FL",501 to 1000 employees,Nonprofit Organization,Insurance Carriers,Insurance
509,Data Management Analyst II,$30K-$54K (Glassdoor est.),"Shands Jacksonville
3.3","Alachua, FL",1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
510,Data Analyst Junior,$30K-$54K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","Gainesville, FL",51 to 200 employees,Company - Private,IT Services,Information Technology
511,Data Analyst â Junior,$30K-$54K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","Gainesville, FL",51 to 200 employees,Company - Private,IT Services,Information Technology
512,IT Analyst III Data Systems,$30K-$54K (Glassdoor est.),"Shands Jacksonville
3.3","Gainesville, FL",1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
513,Product Data Analyst,$55K-$103K (Glassdoor est.),"Stamps.com
3.1","El Segundo, CA",1001 to 5000 employees,Company - Public,Computer Hardware & Software,Information Technology
514,Lead Data Analyst,$55K-$103K (Glassdoor est.),"Headspace
3.6","Santa Monica, CA",201 to 500 employees,Company - Private,Internet,Information Technology
515,Data Analytics Insights Analyst,$55K-$103K (Glassdoor est.),"Neustar
3.7","Los Angeles, CA",1001 to 5000 employees,Company - Private,Internet,Information Technology
516,Data Analyst,$55K-$103K (Glassdoor est.),"Wellth Inc.
5.0","Los Angeles, CA",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
517,Data Analyst,$55K-$103K (Glassdoor est.),People Tree,"Hermosa Beach, CA",1 to 50 employees,Self-employed,Staffing & Outsourcing,Business Services
518,Data Analyst,$55K-$103K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",51 to 200 employees,Company - Private,IT Services,Information Technology
519,Product Data & Insights Analyst,$55K-$103K (Glassdoor est.),"Ruggable
3.3","Gardena, CA",1 to 50 employees,Company - Private,-1,-1
520,Survey Data Analyst,$55K-$103K (Glassdoor est.),"First Professional Services
5.0","Los Angeles, CA",51 to 200 employees,Subsidiary or Business Segment,Internet,Information Technology
521,Senior Data Analyst,$55K-$103K (Glassdoor est.),"Steady
3.6","Los Angeles, CA",1 to 50 employees,Company - Private,Internet,Information Technology
522,Data Analyst,$55K-$103K (Glassdoor est.),"ConsultNet, LLC
4.3","Burbank, CA",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
523,Data Analyst,$55K-$103K (Glassdoor est.),"Signal Sciences
4.3","Los Angeles, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
524,Data and Policy Analyst - Statistical Programmer,$55K-$103K (Glassdoor est.),"Acumen
3.2","Los Angeles, CA",201 to 500 employees,Company - Private,Federal Agencies,Government
525,Data Analyst,$55K-$103K (Glassdoor est.),"HireTalent
4.5","Los Angeles, CA",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
526,"Senior Data Analyst, Marketing",$55K-$103K (Glassdoor est.),"Dave
4.3","Los Angeles, CA",1 to 50 employees,Company - Private,Banks & Credit Unions,Finance
527,Data Analyst,$55K-$103K (Glassdoor est.),Expertise LLC,"Los Angeles, CA",1 to 50 employees,Contract,-1,-1
528,Data Analyst,$55K-$103K (Glassdoor est.),"Lorven Technologies Inc
4.0","Los Angeles, CA",1 to 50 employees,Company - Private,Accounting,Accounting & Legal
529,Data Analyst,$55K-$103K (Glassdoor est.),Eleven Recruiting - CHURN,"Los Angeles, CA",1 to 50 employees,Company - Private,IT Services,Information Technology
530,Data Analyst,$55K-$103K (Glassdoor est.),"ICONMA
3.6","Culver City, CA",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
531,Data Analyst,$55K-$103K (Glassdoor est.),"HITRECORD
3.5","Los Angeles, CA",1 to 50 employees,Company - Private,-1,-1
532,Data Analyst,$55K-$103K (Glassdoor est.),"Dot818
5.0","Glendale, CA",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
533,Data Analyst,$55K-$103K (Glassdoor est.),"DatamanUSA
3.4","Los Angeles, CA",51 to 200 employees,Company - Private,IT Services,Information Technology
534,Senior Database Analyst - Data Warehouse,$55K-$103K (Glassdoor est.),"Cedars-Sinai
3.9","Los Angeles, CA",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
535,Data Analyst,$55K-$103K (Glassdoor est.),Eleven Recruiting - CHURN,"Los Angeles, CA",-1,-1,-1,-1
536,Data Analyst,$55K-$103K (Glassdoor est.),"Robert Half
3.5","El Segundo, CA",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services
537,Data Analyst – Finance,$55K-$103K (Glassdoor est.),"Radiology Partners
3.2","El Segundo, CA",1001 to 5000 employees,Company - Private,Health Care Services & Hospitals,Health Care
538,Data Analyst,$55K-$103K (Glassdoor est.),"PeerStreet
4.7","El Segundo, CA",51 to 200 employees,Company - Private,Real Estate,Real Estate
539,Data Analyst,$55K-$103K (Glassdoor est.),"PlayQ
4.7","Santa Monica, CA",51 to 200 employees,Company - Private,Video Games,Media
540,Data Analyst,$55K-$103K (Glassdoor est.),"Lucky Day
4.0","Los Angeles, CA",1 to 50 employees,Company - Private,Internet,Information Technology
541,Data and Reporting Analyst,$55K-$103K (Glassdoor est.),"Didi Hirsch Mental Health Services
3.4","Inglewood, CA",201 to 500 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
542,Data Analyst,$37K-$70K (Glassdoor est.),Center For Policing Equity,"Los Angeles, CA",51 to 200 employees,Nonprofit Organization,Colleges & Universities,Education
543,Advanced Data Analytics Analyst,$37K-$70K (Glassdoor est.),"Human Good
3.7","Glendale, CA",1 to 50 employees,Company - Private,TV Broadcast & Cable Networks,Media
544,Data Analyst,$37K-$70K (Glassdoor est.),"Swinerton Builders
4.1","Los Angeles, CA",1001 to 5000 employees,Company - Private,Construction,"Construction, Repair & Maintenance"
545,Data Analyst,$37K-$70K (Glassdoor est.),"Relevante, Inc.
3.1","Los Angeles, CA",51 to 200 employees,Company - Private,Consulting,Business Services
546,Data Analyst,$37K-$70K (Glassdoor est.),"iSpace, Inc
3.7","Glendale, CA",51 to 200 employees,Company - Private,IT Services,Information Technology
547,Data Analyst,$37K-$70K (Glassdoor est.),Kharon,"Los Angeles, CA",51 to 200 employees,Company - Public,-1,-1
548,Senior Data Intelligence Analyst,$37K-$70K (Glassdoor est.),"Cedars-Sinai
3.9","Los Angeles, CA",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
549,"Sr. Data Analyst, Consumer Applications",$37K-$70K (Glassdoor est.),"System1
3.8","Venice, CA",201 to 500 employees,Company - Private,Internet,Information Technology
550,Data Governance Analyst,$37K-$70K (Glassdoor est.),"Western Asset
3.5","Pasadena, CA",501 to 1000 employees,Subsidiary or Business Segment,Investment Banking & Asset Management,Finance
551,Data Analyst,$37K-$70K (Glassdoor est.),"Tilde Staff Inc.
5.0","Pasadena, CA",1 to 50 employees,Company - Private,-1,-1
552,"Senior Data Analyst, Data Insights",$37K-$70K (Glassdoor est.),"Hulu
3.8","Santa Monica, CA",1001 to 5000 employees,Company - Private,TV Broadcast & Cable Networks,Media
553,Data Analyst,$37K-$70K (Glassdoor est.),"Login Consulting Services
3.8","El Segundo, CA",51 to 200 employees,Company - Private,Consulting,Business Services
554,Workday Technical Analyst- Data Conversions,$37K-$70K (Glassdoor est.),"University of Southern California
4.2","Los Angeles, CA",10000+ employees,College / University,Colleges & Universities,Education
555,Data Analyst Healthcare - Experienced or Entry Level,$37K-$70K (Glassdoor est.),"Delmarva Foundation
3.1","Cerritos, CA",501 to 1000 employees,Nonprofit Organization,Consulting,Business Services
556,Woocommerce Data Governance Analyst,$37K-$70K (Glassdoor est.),"LiveGlam
4.1","Los Angeles, CA",51 to 200 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services
557,"Analyst, Data Operations",$37K-$70K (Glassdoor est.),"Warner Bros. Entertainment
3.9","Burbank, CA",5001 to 10000 employees,Company - Public,Motion Picture Production & Distribution,Media
558,Data Analyst,$37K-$70K (Glassdoor est.),NextDeavor Services,"Carson, CA",-1,-1,-1,-1
559,Data Analyst,$37K-$70K (Glassdoor est.),"Cenergy
3.5","Irwindale, CA",51 to 200 employees,Company - Private,Construction,"Construction, Repair & Maintenance"
560,Data Analyst (Apex Legends),$37K-$70K (Glassdoor est.),"Electronic Arts
3.9","Los Angeles, CA",5001 to 10000 employees,Company - Public,Video Games,Media
561,Data Intelligence Analyst II ( Epic Certification Required ),$37K-$70K (Glassdoor est.),"Cedars-Sinai
3.9","Los Angeles, CA",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
562,Market Data Analyst,$37K-$70K (Glassdoor est.),"Capital Group
3.9","Los Angeles, CA",5001 to 10000 employees,Company - Private,Investment Banking & Asset Management,Finance
563,"Sr Analyst, Data Operations",$37K-$70K (Glassdoor est.),"Turner Broadcasting
3.7","Burbank, CA",10000+ employees,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media
564,Data Analyst (Ryan White),$37K-$70K (Glassdoor est.),"AIDS Healthcare Foundation
4.7","Los Angeles, CA",1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
565,Senior Data Analyst,$37K-$70K (Glassdoor est.),"Lucky Day
4.0","Los Angeles, CA",1 to 50 employees,Company - Private,Internet,Information Technology
566,"Data System Analyst I, LACERA (Senior Java Developer)",$37K-$70K (Glassdoor est.),"LACERA
3.5","Pasadena, CA",201 to 500 employees,Government,Investment Banking & Asset Management,Finance
567,Data Analyst,$37K-$70K (Glassdoor est.),"Arize Corporation
2.9","Anaheim, CA",201 to 500 employees,Company - Private,Publishing,Media
568,Data Analyst,$37K-$70K (Glassdoor est.),"SAG-AFTRA Health Plan and SAG-Producers Pension Plan
2.8","Burbank, CA",Unknown,Company - Private,-1,-1
569,Data Analyst,$37K-$70K (Glassdoor est.),"Computershare
3.1","El Segundo, CA",10000+ employees,Company - Public,Financial Transaction Processing,Finance
570,Junior Data Analyst,$37K-$70K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",51 to 200 employees,Company - Private,IT Services,Information Technology
571,Data Analyst,$57K-$103K (Glassdoor est.),"Cenergy International
3.2","Irwindale, CA",51 to 200 employees,Company - Private,Consulting,Business Services
572,Marketing Data Analyst,$57K-$103K (Glassdoor est.),"Scale Media
5.0","Los Angeles, CA",1 to 50 employees,Company - Public,Advertising & Marketing,Business Services
573,Data and Policy Analyst - Writer/Coordinator,$57K-$103K (Glassdoor est.),"Acumen
3.2","Los Angeles, CA",201 to 500 employees,Company - Private,Federal Agencies,Government
574,Sr. Data/Report System Analyst,$57K-$103K (Glassdoor est.),"Cedars-Sinai
3.9","Beverly Hills, CA",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
575,Equity Data/Research Analyst,$57K-$103K (Glassdoor est.),Selby Jennings Buyside,"Los Angeles, CA",-1,-1,-1,-1
576,Senior Data Analyst,$57K-$103K (Glassdoor est.),"Mobilityware
4.5","Los Angeles, CA",51 to 200 employees,Company - Private,Video Games,Media
577,Data Analyst,$57K-$103K (Glassdoor est.),"Acorns
3.9","Anaheim, CA",201 to 500 employees,Company - Private,Brokerage Services,Finance
578,Data Analyst - (Python),$57K-$103K (Glassdoor est.),"LEAPROS
5.0","Long Beach, CA",1 to 50 employees,Company - Private,-1,-1
579,Data Analyst / Developer,$57K-$103K (Glassdoor est.),Kforce Technology Staffing,"Los Angeles, CA",-1,-1,-1,-1
580,Data Analyst I,$57K-$103K (Glassdoor est.),"L.A. Care Health Plan
3.1","Los Angeles, CA",1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
581,Senior Data Analyst,$57K-$103K (Glassdoor est.),"Superior Court of California County of Los Angeles
3.6","Los Angeles, CA",1001 to 5000 employees,Government,Municipal Governments,Government
582,Senior Data Analyst,$57K-$103K (Glassdoor est.),"Tillster
3.3","Los Angeles, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
583,Billingual Chinese - Data Analyst,$57K-$103K (Glassdoor est.),"Tripalink
3.7","Los Angeles, CA",1 to 50 employees,Company - Public,Real Estate,Real Estate
584,Senior Data Analyst,$57K-$103K (Glassdoor est.),"TutorMe
4.6","Los Angeles, CA",51 to 200 employees,Subsidiary or Business Segment,Colleges & Universities,Education
585,Reporting Data Analyst,$57K-$103K (Glassdoor est.),"Century Group (CA)
4.5","El Segundo, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
586,Public Policy Data Analyst,$57K-$103K (Glassdoor est.),"Netflix, Inc.
3.9","Los Angeles, CA",1001 to 5000 employees,Company - Public,Internet,Information Technology
587,Epidemiologist Data Analyst-Urology,$57K-$103K (Glassdoor est.),"UC Davis Medical Center
3.8","Los Angeles, CA",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
588,Data Analyst I,$57K-$103K (Glassdoor est.),"Tarzana
3.0","Northridge, CA",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
589,Data Systems Analyst,$57K-$103K (Glassdoor est.),"STAND 8 Technology Services
3.9","Los Angeles, CA",51 to 200 employees,Company - Private,Consulting,Business Services
590,"Data Analyst, Predictive Analytics",$57K-$103K (Glassdoor est.),"Internet Brands
3.4","Los Angeles, CA",1001 to 5000 employees,Company - Private,Internet,Information Technology
591,Data Reporting Analyst,$57K-$103K (Glassdoor est.),"Robert Half
3.5","Los Angeles, CA",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services
592,Senior Data Analyst,$57K-$103K (Glassdoor est.),"Fox Corporation
4.0","Los Angeles, CA",5001 to 10000 employees,Company - Public,TV Broadcast & Cable Networks,Media
593,Business Data Analyst,$57K-$103K (Glassdoor est.),"Connect International
5.0","Los Angeles, CA",1 to 50 employees,Nonprofit Organization,-1,-1
594,Business Data Analyst,$57K-$103K (Glassdoor est.),"PUBG Santa Monica
4.5","Los Angeles, CA",501 to 1000 employees,Company - Private,Video Games,Media
595,Epidemiologist Data Analyst-Urology,$57K-$103K (Glassdoor est.),"UCLA Health
4.0","Los Angeles, CA",5001 to 10000 employees,Company - Public,Health Care Services & Hospitals,Health Care
596,Mid-Senior Data Analyst,$57K-$103K (Glassdoor est.),"Robert Half
3.5","Los Angeles, CA",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services
597,Associate Player Support Data Analyst,$57K-$103K (Glassdoor est.),"Activision Blizzard
3.4","El Segundo, CA",10000+ employees,Company - Public,Video Games,Media
598,BI/Data Analyst,$57K-$103K (Glassdoor est.),"The Loot Company
2.1","Los Angeles, CA",201 to 500 employees,Company - Private,Other Retail Stores,Retail
599,"Sr. Data Analyst, Ad Operations",$57K-$103K (Glassdoor est.),"System1
3.8","Venice, CA",201 to 500 employees,Company - Private,Internet,Information Technology
600,Data Analyst Junior,$35K-$45K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",51 to 200 employees,Company - Private,IT Services,Information Technology
601,"Customer Insights Manager, Senior Data Analyst | Mobile",$35K-$45K (Glassdoor est.),Elever Professional,"Los Angeles, CA",1 to 50 employees,Company - Private,-1,-1
602,Research Sr. Data Analyst - Kaiser Permanente Bernard J. Tyson School of Medicine,$35K-$45K (Glassdoor est.),"Kaiser Permanente
4.0","Pasadena, CA",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
603,"Senior Business Technology Analyst - Big Data (Los Angeles area, CA)",$35K-$45K (Glassdoor est.),"ZS Associates
3.8","Los Angeles, CA",5001 to 10000 employees,Company - Private,Consulting,Business Services
604,Financial Data Analyst,$35K-$45K (Glassdoor est.),"Tecolote Research
3.8","El Segundo, CA",501 to 1000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense
605,Enterprise Data Quality Analyst - EDM,$35K-$45K (Glassdoor est.),"City National Bank
3.6","Los Angeles, CA",1001 to 5000 employees,Subsidiary or Business Segment,Banks & Credit Unions,Finance
606,Survey Data Analyst,$35K-$45K (Glassdoor est.),"Cypress HCM
4.9","Los Angeles, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
607,Data Analyst/SQL/Healthcare Or Medical OR Clinical,$35K-$45K (Glassdoor est.),"Infonex Technologies, Inc.","Pasadena, CA",Unknown,Company - Public,-1,-1
608,Data Analyst Manager,$35K-$45K (Glassdoor est.),Oakwood Search - CHURN,"Los Angeles, CA",-1,-1,-1,-1
609,Enterprise Data Analyst,$35K-$45K (Glassdoor est.),"City National Bank
3.6","Los Angeles, CA",1001 to 5000 employees,Subsidiary or Business Segment,Banks & Credit Unions,Finance
610,MEDIA DATA ANALYST,$35K-$45K (Glassdoor est.),Bloom Ads Global Media Group,"Los Angeles, CA",-1,-1,-1,-1
611,Data Analyst - Personalization,$35K-$45K (Glassdoor est.),"Internet Brands, Inc.
3.4","Los Angeles, CA",1001 to 5000 employees,Company - Private,Internet,Information Technology
612,Data Systems Analyst III,$35K-$45K (Glassdoor est.),ESP Legal,"Los Angeles, CA",-1,-1,-1,-1
613,Data Analyst / Developer,$35K-$45K (Glassdoor est.),"Kforce
4.1","Los Angeles, CA",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services
614,Senior Data Bi Analyst,$35K-$45K (Glassdoor est.),"Apollo Medical Holdings, Inc.
3.4","Alhambra, CA",1 to 50 employees,Company - Private,-1,-1
615,"Operations Analyst, Data Governance",$35K-$45K (Glassdoor est.),"Turner Broadcasting
3.7","Burbank, CA",10000+ employees,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media
616,"Analyst, Data (Pharmacy & SQL)",$35K-$45K (Glassdoor est.),"Molina Healthcare
3.1","Long Beach, CA",10000+ employees,Company - Public,Insurance Carriers,Insurance
617,"Sr. Business Analyst, Data Science and Analytics",$35K-$45K (Glassdoor est.),"Beautycounter
3.0","Santa Monica, CA",201 to 500 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services
618,Enterprise Data Quality Analyst - EDM,$35K-$45K (Glassdoor est.),"Genuent
3.5","Los Angeles, CA",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
619,Microsoft Dynamics CRM Data Analyst,$35K-$45K (Glassdoor est.),"IBM
3.7","Los Angeles, CA",10000+ employees,Company - Public,IT Services,Information Technology
620,"Marketing Data Analyst, Teleflora",$35K-$45K (Glassdoor est.),"The Wonderful Company LLC
3.6","Los Angeles, CA",5001 to 10000 employees,Company - Private,Consumer Products Manufacturing,Manufacturing
621,Senior Customer Data Analyst : 20,$35K-$45K (Glassdoor est.),"Akraya Inc.
4.6","Los Angeles, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
622,REMOTE Data Analyst - POWER BI+MONGO+ DAX EXPERIENCE,$35K-$45K (Glassdoor est.),Catasys Health,"Santa Monica, CA",-1,-1,-1,-1
623,Senior Data Analyst - User Growth,$35K-$45K (Glassdoor est.),"TikTok
3.8","Los Angeles, CA",1001 to 5000 employees,Company - Private,Internet,Information Technology
624,Automotive Data Analyst,$35K-$45K (Glassdoor est.),"MotorTrend Group
2.7","El Segundo, CA",501 to 1000 employees,Company - Public,TV Broadcast & Cable Networks,Media
625,Data Analyst - Product,$35K-$45K (Glassdoor est.),"Mercury Insurance Group
3.4","Brea, CA",1001 to 5000 employees,Company - Public,Insurance Carriers,Insurance
626,"Sr. Analyst, Data",$35K-$45K (Glassdoor est.),"Molina Healthcare
3.1","Long Beach, CA",10000+ employees,Company - Public,Insurance Carriers,Insurance
627,Senior Data Insights Analyst,$35K-$45K (Glassdoor est.),Endpoint Closing,"El Segundo, CA",1 to 50 employees,Company - Private,-1,-1
628,Bilingual (Chinese) Data Analyst,$42K-$66K (Glassdoor est.),"Tripalink
3.7","Los Angeles, CA",1 to 50 employees,Company - Public,Real Estate,Real Estate
629,Systems and Data Analyst - SQL,$42K-$66K (Glassdoor est.),Ottimo Resources,"Duarte, CA",Unknown,Company - Public,-1,-1
630,Data Entry Analyst,$42K-$66K (Glassdoor est.),"Ajilon
3.6","Woodland Hills, CA",1001 to 5000 employees,Company - Public,Staffing & Outsourcing,Business Services
631,"Sr Analyst, Data Operations",$42K-$66K (Glassdoor est.),"WB Technology
5.0","Burbank, CA",Unknown,Company - Private,-1,-1
