Job Title,Salary Estimate,Company Name,Location,Size,Type of ownership,Industry,Sector
Data Analyst D,$37K-$44K (Glassdoor est.),"University of Pennsylvania
4.3","Philadelphia, PA",10000+ employees,College / University,Colleges & Universities,Education
Data Analyst,$37K-$44K (Glassdoor est.),"Login Consulting Services, Inc
3.8","Allegheny West, PA",51 to 200 employees,Company - Private,Consulting,Business Services
Data Analyst,$37K-$44K (Glassdoor est.),"ORS Partners
4.0","Paoli, PA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Analyst- Remote,$37K-$44K (Glassdoor est.),"Fred Beans
3.9","Doylestown, PA",1001 to 5000 employees,Company - Private,Vehicle Dealers,Retail
SQL Data Analyst,$37K-$44K (Glassdoor est.),"Zachary Piper Solutions, LLC
3.9","Horsham, PA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Business/Data Analyst,$37K-$44K (Glassdoor est.),"Infinity Consulting Solutions
3.4","Wilmington, DE",501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services
Data and Information Analyst,$37K-$44K (Glassdoor est.),"PMHCC, Inc.
2.4","Philadelphia, PA",501 to 1000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Data Analyst,$37K-$44K (Glassdoor est.),"Angeion Group
3.2","Chester Township, PA",1 to 50 employees,Company - Private,Consulting,Business Services
Data Analyst,$37K-$44K (Glassdoor est.),"iTech Solutions, Inc
3.8","Conshohocken, PA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Analyst,$37K-$44K (Glassdoor est.),"AccessLex Institute
2.6","West Chester, PA",51 to 200 employees,Nonprofit Organization,Colleges & Universities,Education
Senior CX Data Analyst,$37K-$44K (Glassdoor est.),"Vanguard
3.2","Malvern, PA",10000+ employees,Company - Private,Investment Banking & Asset Management,Finance
"Senior Data Management Analyst, Enterprise Data Management, OCDO",$37K-$44K (Glassdoor est.),"TD Bank
3.9","Mount Laurel, NJ",10000+ employees,Company - Public,Banks & Credit Unions,Finance
Vertical Lift Data Exploitation Analyst,$37K-$44K (Glassdoor est.),"Boeing
3.7","Ridley Park, PA",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense
Data Governance Analyst,$37K-$44K (Glassdoor est.),"TeamSoft
4.7","Wayne, PA",201 to 500 employees,Company - Private,IT Services,Information Technology
Business Data Analyst,$37K-$44K (Glassdoor est.),"Freedom Mortgage
4.2","Mount Laurel, NJ",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance
Business Analyst - Data Science & SQL,$37K-$44K (Glassdoor est.),"Computer Enterprises, Inc.
3.5","Philadelphia, PA",501 to 1000 employees,Company - Private,IT Services,Information Technology
Lead Geophysical Data Analyst,$37K-$44K (Glassdoor est.),"Weston Solutions Inc.
3.5","West Chester, PA",1001 to 5000 employees,Company - Private,Oil & Gas Services,"Oil, Gas, Energy & Utilities"
Sales Data Analyst,$37K-$44K (Glassdoor est.),"McGrath Systems
3.7","Berwyn, PA",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Analyst,$37K-$44K (Glassdoor est.),DL Staffing Solutions,"Newtown, PA",-1,-1,-1,-1
Business Analyst/Data Domain Expert,$37K-$44K (Glassdoor est.),"Numeric, LLC
3.2","Philadelphia, PA",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Junior Data Analyst - SQL Programmer,$37K-$44K (Glassdoor est.),"TechUSA
2.7","Philadelphia, PA",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Analyst,$37K-$44K (Glassdoor est.),"Piper Companies
4.5","Horsham, PA",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
Business / Data Analyst,$37K-$44K (Glassdoor est.),"Kforce
4.1","Wilmington, DE",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services
"Business Analyst with Data domain,media",$37K-$44K (Glassdoor est.),LiveMindz,"Philadelphia, PA",51 to 200 employees,Company - Private,-1,-1
Data Analyst,$37K-$44K (Glassdoor est.),"Zachary Piper Solutions, LLC
3.9","Horsham, PA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Senior Data Analyst,$37K-$44K (Glassdoor est.),"A2C Consulting
3.6","Philadelphia, PA",1 to 50 employees,Company - Private,Consulting,Business Services
Senior Healthcare Data Analyst - Cost and Utilization Analysis,$64K-$113K (Glassdoor est.),"Community Behavioral Health
3.6","Philadelphia, PA",201 to 500 employees,Company - Private,Health Care Services & Hospitals,Health Care
Pharmaceutical Customer Data Analyst,$64K-$113K (Glassdoor est.),"APN Software Services Inc.
4.1","Plymouth Meeting, PA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
Data Analyst,$64K-$113K (Glassdoor est.),"Contemporary Staffing Solutions
4.4","Philadelphia, PA",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Senior Data Analyst,$64K-$113K (Glassdoor est.),"The Judge Group
3.5","Wayne, PA",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Program Manager / Business Data Analyst,$64K-$113K (Glassdoor est.),"Versant Health
2.3","Newtown Square, PA",1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance
DBA / Data Analyst,$64K-$113K (Glassdoor est.),"Micro-Data Systems Inc.
4.2","Philadelphia, PA",51 to 200 employees,Company - Private,IT Services,Information Technology
Analyst - Data Intelligence (US),$64K-$113K (Glassdoor est.),"Avantor
2.4","Wayne, PA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
"Data Analyst (Philadelphia, PA)",$64K-$113K (Glassdoor est.),"Tetra Tech
3.7","Philadelphia, PA",10000+ employees,Company - Public,Architectural & Engineering Services,Business Services
Data & Systems Analyst,$64K-$113K (Glassdoor est.),"Freedom Mortgage
4.2","Mount Laurel, NJ",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance
Business Analyst - Data and Analytics,$64K-$113K (Glassdoor est.),"Eastern Airlines LLC
2.7","Wayne, PA",1 to 50 employees,Company - Private,-1,-1
Lead Data Analyst,$64K-$113K (Glassdoor est.),"NextGen Global Resources LLC
4.3","Philadelphia, PA",501 to 1000 employees,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers",Telecommunications
Senior Data Analyst - Client Experience,$64K-$113K (Glassdoor est.),"Vanguard
3.2","Malvern, PA",10000+ employees,Company - Private,Investment Banking & Asset Management,Finance
Data Analyst and Report Writer,$64K-$113K (Glassdoor est.),"The Judge Group
3.5","Boothwyn, PA",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Payment Integrity Data Analyst,$64K-$113K (Glassdoor est.),"amerihealth
3.7","Philadelphia, PA",5001 to 10000 employees,Subsidiary or Business Segment,Insurance Carriers,Insurance
Lead Data Analyst,$64K-$113K (Glassdoor est.),"GSK
3.9","Philadelphia, PA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Data Analyst-(analytics),$64K-$113K (Glassdoor est.),"A2C Consulting
3.6","Philadelphia, PA",1 to 50 employees,Company - Private,Consulting,Business Services
Pharmaceutical Data Analyst – Analytics,$64K-$113K (Glassdoor est.),ConcertAI,"King of Prussia, PA",-1,-1,-1,-1
Patient Recruitment Data Analyst (ArcGIS),$64K-$113K (Glassdoor est.),Pharmica Consulting,"Norristown, PA",Unknown,Company - Private,-1,-1
Virology Data Analysts,$64K-$113K (Glassdoor est.),"Eurofins
3.4","West Point, PA",10000+ employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Biochemist Data Analyst,$64K-$113K (Glassdoor est.),"Eurofins
3.4","West Point, PA",10000+ employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Data Governance Analyst,$64K-$113K (Glassdoor est.),"Freedom Mortgage
4.2","Marlton, NJ",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance
Senior Healthcare Data Analyst,$64K-$113K (Glassdoor est.),"Cambridge Advisory Group
5.0","King of Prussia, PA",1 to 50 employees,Company - Private,Consulting,Business Services
Healthcare Data Analytics Analyst Senior,$64K-$113K (Glassdoor est.),Amerihealth Caritas Health Plan,"Philadelphia, PA",-1,-1,-1,-1
SR BUSINESS DATA ANALYST PRN,$64K-$113K (Glassdoor est.),"Cooper University Health Care
3.3","Camden, NJ",5001 to 10000 employees,Hospital,Health Care Services & Hospitals,Health Care
AWS Analys/ Data analyst,$64K-$113K (Glassdoor est.),"Diverse Lynx
3.9","Malvern, PA",501 to 1000 employees,Company - Private,IT Services,Information Technology
Payment Integrity Data Analyst Job posting in #Philadelphia #ITjobs,$64K-$113K (Glassdoor est.),"amerihealth
3.7","Philadelphia, PA",5001 to 10000 employees,Subsidiary or Business Segment,Insurance Carriers,Insurance
Sport & Data Analyst,$64K-$113K (Glassdoor est.),Philadelphia 76ers - HBSE,"Camden, NJ",-1,-1,-1,-1
Data Analyst Supporting the FBI #20-188,$64K-$113K (Glassdoor est.),"Forfeiture Support Associates
2.8","Philadelphia, PA",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Engineer/Reporting Analyst,$64K-$113K (Glassdoor est.),"Management Decisions, Inc.
1.6","Philadelphia, PA",1 to 50 employees,Company - Public,Advertising & Marketing,Business Services
Sr. Data Analyst - Project Manager,$64K-$113K (Glassdoor est.),"TechUSA
2.7","Philadelphia, PA",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Analyst SAS Programmer,$50K-$93K (Glassdoor est.),"SRG Woolf
4.6","King of Prussia, PA",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Sr. Data Analyst,$50K-$93K (Glassdoor est.),"Login Consulting Services, Inc
3.8","Allegheny West, PA",51 to 200 employees,Company - Private,Consulting,Business Services
"Systems Analyst, Quality Data System",$50K-$93K (Glassdoor est.),"Adaptimmune Ltd
3.3","Philadelphia, PA",201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Data Visualization Project Manager/ Business Analyst (PM / BA),$50K-$93K (Glassdoor est.),"Trillium Solutions Group
4.8","Horsham, PA",1 to 50 employees,Private Practice / Firm,IT Services,Information Technology
Stability Data Analyst,$50K-$93K (Glassdoor est.),Eurofins USA PSS Insourcing Solutions,"West Point, PA",-1,-1,-1,-1
Business Analyst/Data Analyst,$50K-$93K (Glassdoor est.),"The Judge Group
3.5","Wilmington, DE",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Stability Data Analyst,$50K-$93K (Glassdoor est.),EUROFINS SCIENT.,"West Point, PA",-1,-1,-1,-1
Data Analyst Junior,$50K-$93K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","Wilmington, DE",51 to 200 employees,Company - Private,IT Services,Information Technology
Business Intelligence and Data Sciences Analyst,$50K-$93K (Glassdoor est.),"TE Connectivity
3.6","Berwyn, PA",10000+ employees,Company - Public,Electrical & Electronic Manufacturing,Manufacturing
Sr Business Analyst (Data Quality),$50K-$93K (Glassdoor est.),"Freedom Mortgage
4.2","Marlton, NJ",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance
Healthcare Data Analytics Analyst Senior,$50K-$93K (Glassdoor est.),"AmeriHealth Caritas
3.1","Philadelphia, PA",5001 to 10000 employees,Company - Private,Insurance Carriers,Insurance
"Mid Level Data Analyst / BI Engineer - Looker, Python, Client Facing",$50K-$93K (Glassdoor est.),"Management Decisions, Inc.
1.6","Philadelphia, PA",1 to 50 employees,Company - Public,Advertising & Marketing,Business Services
Technical Business Analyst (Data Warehouse),$50K-$93K (Glassdoor est.),"Piper Companies
4.5","Horsham, PA",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Link Analyst,$50K-$93K (Glassdoor est.),"Future Technologies Inc.
3.3","Moorestown, NJ",1001 to 5000 employees,Company - Private,Accounting,Accounting & Legal
"Lead Analyst, Data Transfer, Integration & Quality, Wilmington, DE",$50K-$93K (Glassdoor est.),"BNY Mellon
3.2","Wilmington, DE",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
Technical Business Analyst (Data Warehouse),$50K-$93K (Glassdoor est.),"Zachary Piper Solutions, LLC
3.9","Horsham, PA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Certified Tumor Registrar/Data Analyst [CTR and experience required],$50K-$93K (Glassdoor est.),"Fox Chase Cancer Center
4.0","Philadelphia, PA",1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Data Center Migration PMO Analyst/PMO Lead,$50K-$93K (Glassdoor est.),"Kforce
4.1","Wilmington, DE",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services
Data Center Migration PMO Analyst/PMO Lead,$50K-$93K (Glassdoor est.),Kforce Technology Staffing,"Wilmington, DE",-1,-1,-1,-1
Data Analyst / Tableau Developer,$37K-$68K (Glassdoor est.),"Technocrafts, Inc.
3.9","San Antonio, TX",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
Data Analyst,$37K-$68K (Glassdoor est.),"Ionidea
3.4","San Antonio, TX",1001 to 5000 employees,Company - Private,IT Services,Information Technology
Data Analyst,$37K-$68K (Glassdoor est.),"CYNET SYSTEMS
4.0","San Antonio, TX",501 to 1000 employees,Company - Private,IT Services,Information Technology
Data Analyst,$37K-$68K (Glassdoor est.),"Integrated Resources
3.1","San Antonio, TX",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Analyst I,$37K-$68K (Glassdoor est.),"Deacon Recruiting
3.0","San Antonio, TX",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Reporting Analyst,$37K-$68K (Glassdoor est.),"Indotronix International Corporation
3.9","San Antonio, TX",501 to 1000 employees,Company - Private,IT Services,Information Technology
Data Analyst,$37K-$68K (Glassdoor est.),"Diverse Lynx
3.9","San Antonio, TX",501 to 1000 employees,Company - Private,IT Services,Information Technology
Data Analyst,$37K-$68K (Glassdoor est.),"Huntington Ingalls Industries
3.7","San Antonio, TX",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense
Marketing & Data Analyst,$37K-$68K (Glassdoor est.),"Principle Auto
4.1","San Antonio, TX",501 to 1000 employees,Company - Private,Vehicle Dealers,Retail
Data Analyst,$37K-$68K (Glassdoor est.),"C2 GPS- Alamo Workforce
3.4","San Antonio, TX",501 to 1000 employees,Company - Private,Consulting,Business Services
Data Reporting Analyst,$37K-$68K (Glassdoor est.),"Vantage Bank Texas
3.4","San Antonio, TX",201 to 500 employees,Company - Private,Banks & Credit Unions,Finance
"Data & Reporting Analyst, Distribution Planning & Operations",$37K-$68K (Glassdoor est.),"H E B
4.3","San Antonio, TX",10000+ employees,Company - Private,Grocery Stores & Supermarkets,Retail
Data Analyst,$37K-$68K (Glassdoor est.),"Vinsari
2.5","San Antonio, TX",51 to 200 employees,Other Organization,-1,-1
Epidemiologist - Data Analyst,$37K-$68K (Glassdoor est.),"CICONIX, LLC
4.0","San Antonio, TX",1 to 50 employees,Company - Private,Federal Agencies,Government
Contract Data Analyst,$37K-$68K (Glassdoor est.),"Amyx, Iinc.","San Antonio, TX",-1,-1,-1,-1
Epidemiology Data Analyst,$37K-$68K (Glassdoor est.),"NJVC
2.8","San Antonio, TX",1001 to 5000 employees,Company - Private,IT Services,Information Technology
Data Business Solutions Analyst,$37K-$68K (Glassdoor est.),"Randstad
3.7","San Antonio, TX",1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
Data Analyst,$37K-$68K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","San Antonio, TX",51 to 200 employees,Company - Private,IT Services,Information Technology
Risk Data Analyst,$37K-$68K (Glassdoor est.),"Deacon Recruiting
3.0","San Antonio, TX",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Contract Data Analyst,$37K-$68K (Glassdoor est.),"Amyx, Inc.
4.0","San Antonio, TX",501 to 1000 employees,Company - Private,IT Services,Information Technology
Senior Data Analyst,$37K-$68K (Glassdoor est.),"Scaleworks
4.5","San Antonio, TX",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
Senior Data Analyst,$37K-$68K (Glassdoor est.),"HCL Technologies Ltd.
3.5","San Antonio, TX",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology
Data Analyst,$37K-$68K (Glassdoor est.),"CDO Technologies Inc
3.3","San Antonio, TX",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology
"Epidemiology/Data Analyst, San Antonio, TX, US, ID",$37K-$68K (Glassdoor est.),Cherokee Federal,"San Antonio, TX",1 to 50 employees,Nonprofit Organization,Banks & Credit Unions,Finance
Senior Data Analyst,$37K-$68K (Glassdoor est.),"Kforce
4.1","San Antonio, TX",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services
Senior Data Science Analyst,$37K-$68K (Glassdoor est.),"PETCO
2.9","San Antonio, TX",10000+ employees,Company - Private,Pet & Pet Supplies Stores,Retail
"Data Analyst ( SAS,SQL)",$37K-$68K (Glassdoor est.),"eTeam Inc.
3.7","San Antonio, TX",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Analyst - Top Secret w/ SCI Eligibility,$37K-$68K (Glassdoor est.),"LMI
4.0","San Antonio, TX",1001 to 5000 employees,Nonprofit Organization,Consulting,Business Services
Epidemiology/Data Analyst,$37K-$68K (Glassdoor est.),"CAMRIS International
4.0","San Antonio, TX",201 to 500 employees,Company - Private,Federal Agencies,Government
Epidemiology Data Analyst,$37K-$68K (Glassdoor est.),"General Dynamics Information Technology
3.5","Lackland AFB, TX",10000+ employees,Subsidiary or Business Segment,IT Services,Information Technology
Senior Data Analyst,$73K-$89K (Glassdoor est.),"Convene Technologies
3.3","San Antonio, TX",51 to 200 employees,Company - Private,IT Services,Information Technology
Data Security Analyst,$73K-$89K (Glassdoor est.),Cyber Warrior Network,"San Antonio, TX",1 to 50 employees,Company - Private,IT Services,Information Technology
Data Security Analyst,$73K-$89K (Glassdoor est.),"nana
2.6","San Antonio, TX",1001 to 5000 employees,Unknown,Social Assistance,Non-Profit
Data Security Analyst,$73K-$89K (Glassdoor est.),"Akima Management Services
3.3","San Antonio, TX",5001 to 10000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense
Data Analyst/Engineers,$73K-$89K (Glassdoor est.),"Diverse Lynx
3.9","San Antonio, TX",501 to 1000 employees,Company - Private,IT Services,Information Technology
Senior Contract Data Analyst,$73K-$89K (Glassdoor est.),"Amyx, Iinc.","San Antonio, TX",-1,-1,-1,-1
Epidemiology Data Analyst,$73K-$89K (Glassdoor est.),"Chenega Healthcare Services
3.8","San Antonio, TX",501 to 1000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
IT Data Science Analyst,$73K-$89K (Glassdoor est.),"Kforce
4.1","San Antonio, TX",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services
"Configuration Data Analyst, (Secret Clearance Required) San Antonio, TX, US ID",$73K-$89K (Glassdoor est.),"Cherokee Nation Businesses, LLC
3.2","San Antonio, TX",1001 to 5000 employees,Company - Private,Accounting,Accounting & Legal
TECHNICAL DATA ANALYST,$73K-$89K (Glassdoor est.),"Spectrum Comm
3.8","Lackland AFB, TX",51 to 200 employees,Company - Private,Aerospace & Defense,Aerospace & Defense
Senior Contract Data Analyst,$73K-$89K (Glassdoor est.),"Amyx, Inc.
4.0","San Antonio, TX",501 to 1000 employees,Company - Private,IT Services,Information Technology
"Configuration Data Analyst, (Secret Clearance Required) San An with Security Clearance",$73K-$89K (Glassdoor est.),Cherokee Federal,"San Antonio, TX",1 to 50 employees,Nonprofit Organization,Banks & Credit Unions,Finance
Senior Risk Analyst-Data,$73K-$89K (Glassdoor est.),"Peyton Resource Group
3.9","San Antonio, TX",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Functional Analyst (CECL Data),$73K-$89K (Glassdoor est.),"Softcom Systems
4.4","San Antonio, TX",1 to 50 employees,Company - Private,IT Services,Information Technology
Data Analyst with Security Clearance,$73K-$89K (Glassdoor est.),"CDO Technologies Inc
3.3","San Antonio, TX",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology
"Configuration Data Analyst, San Antonio, TX, US ID#17897 with Security Clearance",$73K-$89K (Glassdoor est.),Cherokee Federal,"Fort Sam Houston, TX",1 to 50 employees,Nonprofit Organization,Banks & Credit Unions,Finance
"(REMOTE) Sr. Risk Analyst (IT, IS and/or Data expertise)",$73K-$89K (Glassdoor est.),"Strategic Staffing Solutions
3.1","San Antonio, TX",1001 to 5000 employees,Contract,Staffing & Outsourcing,Business Services
"Sr. Risk Analyst (IT, IS and/or Data expertise)",$73K-$89K (Glassdoor est.),"Strategic Staffing Solutions
3.1","San Antonio, TX",1001 to 5000 employees,Contract,Staffing & Outsourcing,Business Services
Navy Maintenance Data Systems Analyst,$76K-$122K (Glassdoor est.),"CACI International
3.6","San Diego, CA",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense
Data Analyst,$76K-$122K (Glassdoor est.),"Midland Credit Management
3.3","San Diego, CA",1001 to 5000 employees,Subsidiary or Business Segment,Banks & Credit Unions,Finance
Research Data Analyst,$76K-$122K (Glassdoor est.),"UC San Diego
4.3","San Diego, CA",10000+ employees,College / University,Colleges & Universities,Education
Data Analyst II,$76K-$122K (Glassdoor est.),"HealthStream
3.0","San Diego, CA",501 to 1000 employees,Company - Public,Education Training Services,Education
Data Analyst,$76K-$122K (Glassdoor est.),"Conflux Systems Inc.
4.5","San Diego, CA",1 to 50 employees,Company - Private,Accounting,Accounting & Legal
Data Analyst,$76K-$122K (Glassdoor est.),"22nd Century Technologies
3.7","San Diego, CA",1001 to 5000 employees,Company - Private,IT Services,Information Technology
Division Data and Financial Analyst,$76K-$122K (Glassdoor est.),"University of California
4.2","San Diego, CA",10000+ employees,College / University,Colleges & Universities,Education
Research Data Analyst,$76K-$122K (Glassdoor est.),"University of California - San Diego Medical Centers
3.7","San Diego, CA",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care
Data Analyst 3,$76K-$122K (Glassdoor est.),"BD (Becton, Dickinson and Company)
4.0","San Diego, CA",Unknown,Company - Private,-1,-1
Data Analyst,$76K-$122K (Glassdoor est.),"Client Solution Architects
3.4","San Diego, CA",201 to 500 employees,Company - Private,Aerospace & Defense,Aerospace & Defense
Data Analyst,$76K-$122K (Glassdoor est.),"Cue
4.2","San Diego, CA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Junior Data Analyst,$76K-$122K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","San Diego, CA",51 to 200 employees,Company - Private,IT Services,Information Technology
Data Analyst,$76K-$122K (Glassdoor est.),"Encore Capital Group
3.2","San Diego, CA",5001 to 10000 employees,Company - Public,Financial Analytics & Research,Finance
Data Analyst - VerityStream,$76K-$122K (Glassdoor est.),"HealthStream
3.0","San Diego, CA",501 to 1000 employees,Company - Public,Education Training Services,Education
Data Analyst,$76K-$122K (Glassdoor est.),"ProMedia
4.4","San Diego, CA",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
Senior Data Analyst,$76K-$122K (Glassdoor est.),"Axos Bank
3.4","San Diego, CA",1001 to 5000 employees,Company - Public,Banks & Credit Unions,Finance
Business Data Analyst (SQL / Tableau),$76K-$122K (Glassdoor est.),"Sayva Solutions
4.8","San Diego, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Data & Business Intelligence Analyst,$76K-$122K (Glassdoor est.),"The Rock Church
5.0","San Diego, CA",1 to 50 employees,Nonprofit Organization,-1,-1
Fleet Optimization Data Analyst (Solar + Storage),$76K-$122K (Glassdoor est.),"Stem
3.2","San Diego, CA",51 to 200 employees,Company - Private,Energy,"Oil, Gas, Energy & Utilities"
Data Analyst,$76K-$122K (Glassdoor est.),"Tandem Diabetes
3.8","San Diego, CA",1001 to 5000 employees,Company - Public,Health Care Products Manufacturing,Manufacturing
Data Steward/Configuration Analyst,$76K-$122K (Glassdoor est.),"Illumina
3.9","San Diego, CA",5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Administrative Assistant / Data Analyst Supporting the DEA #20-318,$76K-$122K (Glassdoor est.),"Forfeiture Support Associates
2.8","San Diego, CA",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Manager - Bioinformatics Analyst (Naval Health Center),$76K-$122K (Glassdoor est.),"General Dynamics
3.5","San Diego, CA",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense
Data Analyst,$76K-$122K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","San Diego, CA",51 to 200 employees,Company - Private,IT Services,Information Technology
Data Analyst III,$76K-$122K (Glassdoor est.),"Potomac Management
3.5","San Diego, CA",51 to 200 employees,Nonprofit Organization,-1,-1
Data Analyst,$76K-$122K (Glassdoor est.),Operation Samahan Health Clinic,"National City, CA",-1,-1,-1,-1
Data Privacy Analyst,$76K-$122K (Glassdoor est.),"Dexcom, Inc.
3.5","San Diego, CA",1001 to 5000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
"Data Analyst 3 (San Diego or Atlanta, GA)",$76K-$122K (Glassdoor est.),"BD
3.6","San Diego, CA",10000+ employees,Company - Public,Health Care Products Manufacturing,Manufacturing
"Research Scientist, Structural Biologist - CryoEM Data Analyst",$60K-$124K (Glassdoor est.),"Vertex Pharmaceuticals
3.3","San Diego, CA",1001 to 5000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Systems Analyst - Data Integration and ETL process,$60K-$124K (Glassdoor est.),"Kelly
3.4","San Diego, CA",5001 to 10000 employees,Company - Public,Staffing & Outsourcing,Business Services
Senior Consulting Data Analyst,$60K-$124K (Glassdoor est.),"Kaiser Permanente
4.0","San Diego, CA",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Senior Data Analyst,$60K-$124K (Glassdoor est.),"Illumina
3.9","San Diego, CA",5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
#105009 Research Data Analyst,$60K-$124K (Glassdoor est.),"UC San Diego
4.3","San Diego, CA",10000+ employees,College / University,Colleges & Universities,Education
Automotive eCommerce Data Analyst - Remote,$60K-$124K (Glassdoor est.),"Web Shop Manager
4.2","San Diego, CA",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
Sr. Data Analyst,$60K-$124K (Glassdoor est.),"Housecall Pro
4.6","San Diego, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
Senior Technical Data Analyst,$60K-$124K (Glassdoor est.),"Intuit
4.4","San Diego, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology
Data Governance Analyst,$60K-$124K (Glassdoor est.),The RiverStone Group,"San Diego, CA",1 to 50 employees,Unknown,-1,-1
Division Data and Financial Analyst,$60K-$124K (Glassdoor est.),"University of California - San Diego Medical Centers
3.7","San Diego, CA",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care
Data Analyst III (Healthcare Analytics),$60K-$124K (Glassdoor est.),"Interpreta
2.3","San Diego, CA",1 to 50 employees,Company - Private,-1,-1
Senior Business Data Analyst,$60K-$124K (Glassdoor est.),"Intuit
4.4","San Diego, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology
Data Analyst III (Healthcare Analytics),$60K-$124K (Glassdoor est.),"Centene Corporation
3.3","San Diego, CA",10000+ employees,Company - Public,Insurance Carriers,Insurance
Data Analyst - VerityStream,$60K-$124K (Glassdoor est.),"Verity, A HealthStream Company
4.1","San Diego, CA",201 to 500 employees,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology
